date,country_code,admin_level,admin1,fips,samples,m50,m50_index
3/1/20,US,1,Alabama,01,133826,8.331,79
3/2/20,US,1,Alabama,01,143632,10.398,98
3/3/20,US,1,Alabama,01,146009,10.538,100
3/4/20,US,1,Alabama,01,149352,10.144,96
3/5/20,US,1,Alabama,01,144109,10.982,104
3/6/20,US,1,Alabama,01,141491,13.024,123
3/7/20,US,1,Alabama,01,141163,11.373,107
3/8/20,US,1,Alabama,01,138075,8.513,80
3/9/20,US,1,Alabama,01,145037,10.901,103
3/10/20,US,1,Alabama,01,143390,10.892,103
3/11/20,US,1,Alabama,01,143775,10.954,103
3/12/20,US,1,Alabama,01,141531,11.755,111
3/13/20,US,1,Alabama,01,138766,12.269,116
3/14/20,US,1,Alabama,01,135267,9.379,89
3/15/20,US,1,Alabama,01,131636,6.384,60
3/16/20,US,1,Alabama,01,134064,9.49,90
3/17/20,US,1,Alabama,01,137404,8.263,78
3/18/20,US,1,Alabama,01,133274,7.662,72
3/19/20,US,1,Alabama,01,130158,7.863,74
3/20/20,US,1,Alabama,01,122306,8.325,78
3/21/20,US,1,Alabama,01,104381,5.233,49
3/22/20,US,1,Alabama,01,118961,2.903,27
3/23/20,US,1,Alabama,01,128380,5.398,51
3/24/20,US,1,Alabama,01,132352,5.519,52
3/25/20,US,1,Alabama,01,128921,6.305,59
3/26/20,US,1,Alabama,01,130572,6.363,60
3/27/20,US,1,Alabama,01,129899,6.956,66
3/28/20,US,1,Alabama,01,128521,4.772,45
3/29/20,US,1,Alabama,01,132096,2.739,25
3/30/20,US,1,Alabama,01,132085,5.148,48
3/31/20,US,1,Alabama,01,132317,4.49,42
4/1/20,US,1,Alabama,01,131723,5.619,53
4/2/20,US,1,Alabama,01,131971,5.876,55
4/3/20,US,1,Alabama,01,130966,6.624,62
4/4/20,US,1,Alabama,01,126566,4.241,40
4/5/20,US,1,Alabama,01,126988,1.191,11
4/6/20,US,1,Alabama,01,127030,4.476,42
4/7/20,US,1,Alabama,01,128338,4.326,41
4/8/20,US,1,Alabama,01,127651,4.519,42
4/9/20,US,1,Alabama,01,128604,5.287,50
4/10/20,US,1,Alabama,01,123336,6.14,58
3/1/20,US,1,Alaska,02,7782,0.808,20
3/2/20,US,1,Alaska,02,8215,3.463,86
3/3/20,US,1,Alaska,02,8245,3.791,94
3/4/20,US,1,Alaska,02,8385,4.003,100
3/5/20,US,1,Alaska,02,8069,4.072,101
3/6/20,US,1,Alaska,02,8220,4.351,108
3/7/20,US,1,Alaska,02,7959,2.337,58
3/8/20,US,1,Alaska,02,8060,0.816,20
3/9/20,US,1,Alaska,02,8147,3.002,74
3/10/20,US,1,Alaska,02,7902,3.524,88
3/11/20,US,1,Alaska,02,7904,3.678,91
3/12/20,US,1,Alaska,02,7648,3.605,90
3/13/20,US,1,Alaska,02,7555,3.884,97
3/14/20,US,1,Alaska,02,7254,1.601,39
3/15/20,US,1,Alaska,02,7098,0.559,13
3/16/20,US,1,Alaska,02,7330,2.976,74
3/17/20,US,1,Alaska,02,7728,2.45,61
3/18/20,US,1,Alaska,02,7641,1.81,45
3/19/20,US,1,Alaska,02,7421,1.23,30
3/20/20,US,1,Alaska,02,7150,1.783,44
3/21/20,US,1,Alaska,02,6304,0.04,0
3/22/20,US,1,Alaska,02,6835,0.04,0
3/23/20,US,1,Alaska,02,7616,0.278,6
3/24/20,US,1,Alaska,02,7980,0.16,3
3/25/20,US,1,Alaska,02,7844,0.114,2
3/26/20,US,1,Alaska,02,7940,0.168,4
3/27/20,US,1,Alaska,02,8000,0.278,6
3/28/20,US,1,Alaska,02,7748,0.038,0
3/29/20,US,1,Alaska,02,8644,0.031,0
3/30/20,US,1,Alaska,02,8858,0.052,1
3/31/20,US,1,Alaska,02,9083,0.089,2
4/1/20,US,1,Alaska,02,8641,0.067,1
4/2/20,US,1,Alaska,02,8796,0.061,1
4/3/20,US,1,Alaska,02,8223,0.343,8
4/4/20,US,1,Alaska,02,8202,0.048,1
4/5/20,US,1,Alaska,02,8176,0.036,0
4/6/20,US,1,Alaska,02,7497,0.094,2
4/7/20,US,1,Alaska,02,7703,0.089,2
4/8/20,US,1,Alaska,02,8193,0.136,3
4/9/20,US,1,Alaska,02,7543,0.063,1
4/10/20,US,1,Alaska,02,7187,0.137,3
3/1/20,US,1,Arizona,04,121939,4.749,60
3/2/20,US,1,Arizona,04,126957,7.555,96
3/3/20,US,1,Arizona,04,129004,7.665,98
3/4/20,US,1,Arizona,04,131541,7.819,100
3/5/20,US,1,Arizona,04,126999,8.359,106
3/6/20,US,1,Arizona,04,125203,8.954,114
3/7/20,US,1,Arizona,04,125403,7.167,91
3/8/20,US,1,Arizona,04,124129,4.902,62
3/9/20,US,1,Arizona,04,126534,7.477,95
3/10/20,US,1,Arizona,04,125845,7.438,95
3/11/20,US,1,Arizona,04,126545,7.156,91
3/12/20,US,1,Arizona,04,124075,6.969,89
3/13/20,US,1,Arizona,04,122646,7.441,95
3/14/20,US,1,Arizona,04,119059,5.387,68
3/15/20,US,1,Arizona,04,117271,3.621,46
3/16/20,US,1,Arizona,04,118045,5.885,75
3/17/20,US,1,Arizona,04,121978,4.966,63
3/18/20,US,1,Arizona,04,119575,3.643,46
3/19/20,US,1,Arizona,04,114989,3.091,39
3/20/20,US,1,Arizona,04,110040,4.19,53
3/21/20,US,1,Arizona,04,99749,1.66,21
3/22/20,US,1,Arizona,04,109420,0.663,8
3/23/20,US,1,Arizona,04,116486,2.246,28
3/24/20,US,1,Arizona,04,119805,2.097,26
3/25/20,US,1,Arizona,04,115666,2.149,27
3/26/20,US,1,Arizona,04,118088,1.874,23
3/27/20,US,1,Arizona,04,116861,2.154,27
3/28/20,US,1,Arizona,04,116517,0.933,11
3/29/20,US,1,Arizona,04,120047,0.206,2
3/30/20,US,1,Arizona,04,120359,1.44,18
3/31/20,US,1,Arizona,04,120195,1.462,18
4/1/20,US,1,Arizona,04,118915,0.875,11
4/2/20,US,1,Arizona,04,117460,1.086,13
4/3/20,US,1,Arizona,04,116632,1.648,21
4/4/20,US,1,Arizona,04,114796,0.625,7
4/5/20,US,1,Arizona,04,117391,0.061,0
4/6/20,US,1,Arizona,04,113381,0.882,11
4/7/20,US,1,Arizona,04,115189,0.991,12
4/8/20,US,1,Arizona,04,115693,0.9,11
4/9/20,US,1,Arizona,04,113964,1.011,12
4/10/20,US,1,Arizona,04,108732,1.875,23
3/1/20,US,1,Arkansas,05,73333,7.026,73
3/2/20,US,1,Arkansas,05,77902,9.268,97
3/3/20,US,1,Arkansas,05,78919,9.547,100
3/4/20,US,1,Arkansas,05,80793,9.347,97
3/5/20,US,1,Arkansas,05,78242,10.079,105
3/6/20,US,1,Arkansas,05,76849,11.948,125
3/7/20,US,1,Arkansas,05,76244,10.333,108
3/8/20,US,1,Arkansas,05,75613,7.334,76
3/9/20,US,1,Arkansas,05,79647,8.582,89
3/10/20,US,1,Arkansas,05,79465,9.527,99
3/11/20,US,1,Arkansas,05,79609,9.225,96
3/12/20,US,1,Arkansas,05,78625,9.633,100
3/13/20,US,1,Arkansas,05,76915,9.743,102
3/14/20,US,1,Arkansas,05,74898,6.541,68
3/15/20,US,1,Arkansas,05,72962,4.994,52
3/16/20,US,1,Arkansas,05,73513,7.261,76
3/17/20,US,1,Arkansas,05,75821,6.732,70
3/18/20,US,1,Arkansas,05,73859,6.119,64
3/19/20,US,1,Arkansas,05,73106,6.102,63
3/20/20,US,1,Arkansas,05,67688,7.268,76
3/21/20,US,1,Arkansas,05,57931,4.644,48
3/22/20,US,1,Arkansas,05,64791,1.713,17
3/23/20,US,1,Arkansas,05,71292,5.149,53
3/24/20,US,1,Arkansas,05,73108,4.78,50
3/25/20,US,1,Arkansas,05,71180,5.765,60
3/26/20,US,1,Arkansas,05,72838,6.095,63
3/27/20,US,1,Arkansas,05,72537,6.037,63
3/28/20,US,1,Arkansas,05,71315,3.086,32
3/29/20,US,1,Arkansas,05,73785,3.304,34
3/30/20,US,1,Arkansas,05,73751,4.314,45
3/31/20,US,1,Arkansas,05,73934,4.822,50
4/1/20,US,1,Arkansas,05,73700,5.306,55
4/2/20,US,1,Arkansas,05,73777,5.436,56
4/3/20,US,1,Arkansas,05,73016,5.184,54
4/4/20,US,1,Arkansas,05,70152,2.818,29
4/5/20,US,1,Arkansas,05,71446,2.213,23
4/6/20,US,1,Arkansas,05,70637,4.761,49
4/7/20,US,1,Arkansas,05,71602,4.81,50
4/8/20,US,1,Arkansas,05,71776,5.291,55
4/9/20,US,1,Arkansas,05,71512,5.372,56
4/10/20,US,1,Arkansas,05,68929,6.314,66
3/1/20,US,1,California,06,451282,4.122,60
3/2/20,US,1,California,06,457175,6.725,98
3/3/20,US,1,California,06,472598,6.842,100
3/4/20,US,1,California,06,481255,6.827,99
3/5/20,US,1,California,06,458159,7.27,106
3/6/20,US,1,California,06,446703,7.649,111
3/7/20,US,1,California,06,449691,5.97,87
3/8/20,US,1,California,06,453899,4.292,62
3/9/20,US,1,California,06,473532,6.339,92
3/10/20,US,1,California,06,443272,6.522,95
3/11/20,US,1,California,06,469395,6.591,96
3/12/20,US,1,California,06,462734,6.159,90
3/13/20,US,1,California,06,449089,6.232,91
3/14/20,US,1,California,06,438905,3.512,51
3/15/20,US,1,California,06,425702,2.195,32
3/16/20,US,1,California,06,394102,4.541,66
3/17/20,US,1,California,06,410186,3.222,47
3/18/20,US,1,California,06,382315,2.848,41
3/19/20,US,1,California,06,371654,2.003,29
3/20/20,US,1,California,06,333099,2.498,36
3/21/20,US,1,California,06,285539,0.721,10
3/22/20,US,1,California,06,349210,0.267,3
3/23/20,US,1,California,06,375438,0.961,14
3/24/20,US,1,California,06,395032,0.779,11
3/25/20,US,1,California,06,376378,1.046,15
3/26/20,US,1,California,06,385779,0.922,13
3/27/20,US,1,California,06,362058,1.553,22
3/28/20,US,1,California,06,380862,0.251,3
3/29/20,US,1,California,06,391174,0.05,0
3/30/20,US,1,California,06,401335,0.609,8
3/31/20,US,1,California,06,401469,0.75,10
4/1/20,US,1,California,06,397929,0.807,11
4/2/20,US,1,California,06,391404,0.899,13
4/3/20,US,1,California,06,386905,1.354,19
4/4/20,US,1,California,06,383533,0.23,3
4/5/20,US,1,California,06,411145,0.033,0
4/6/20,US,1,California,06,374329,0.151,2
4/7/20,US,1,California,06,379980,0.354,5
4/8/20,US,1,California,06,384760,0.361,5
4/9/20,US,1,California,06,379211,0.121,1
4/10/20,US,1,California,06,350514,1.011,14
3/1/20,US,1,Colorado,08,92976,3.884,55
3/2/20,US,1,Colorado,08,95557,6.412,91
3/3/20,US,1,Colorado,08,97493,6.914,98
3/4/20,US,1,Colorado,08,99724,7.046,99
3/5/20,US,1,Colorado,08,96419,7.323,103
3/6/20,US,1,Colorado,08,94724,8.018,113
3/7/20,US,1,Colorado,08,96419,6.42,91
3/8/20,US,1,Colorado,08,98031,4.284,60
3/9/20,US,1,Colorado,08,101639,6.771,96
3/10/20,US,1,Colorado,08,100060,6.95,98
3/11/20,US,1,Colorado,08,100308,7.156,101
3/12/20,US,1,Colorado,08,98490,7.126,101
3/13/20,US,1,Colorado,08,95506,6.494,92
3/14/20,US,1,Colorado,08,91758,3.974,56
3/15/20,US,1,Colorado,08,90223,2.384,33
3/16/20,US,1,Colorado,08,89643,4.694,66
3/17/20,US,1,Colorado,08,91734,3.211,45
3/18/20,US,1,Colorado,08,89817,3.151,44
3/19/20,US,1,Colorado,08,85109,0.408,5
3/20/20,US,1,Colorado,08,79367,1.606,22
3/21/20,US,1,Colorado,08,72243,0.411,5
3/22/20,US,1,Colorado,08,81890,0.269,3
3/23/20,US,1,Colorado,08,87575,1.538,21
3/24/20,US,1,Colorado,08,90801,1.312,18
3/25/20,US,1,Colorado,08,87662,1.463,20
3/26/20,US,1,Colorado,08,89109,0.199,2
3/27/20,US,1,Colorado,08,88177,0.113,1
3/28/20,US,1,Colorado,08,88322,0.041,0
3/29/20,US,1,Colorado,08,91146,0.039,0
3/30/20,US,1,Colorado,08,91978,0.15,2
3/31/20,US,1,Colorado,08,91444,0.568,8
4/1/20,US,1,Colorado,08,91421,0.449,6
4/2/20,US,1,Colorado,08,89512,0.056,0
4/3/20,US,1,Colorado,08,88238,0.282,4
4/4/20,US,1,Colorado,08,87715,0.108,1
4/5/20,US,1,Colorado,08,89651,0.049,0
4/6/20,US,1,Colorado,08,86831,0.441,6
4/7/20,US,1,Colorado,08,87936,0.511,7
4/8/20,US,1,Colorado,08,88270,0.523,7
4/9/20,US,1,Colorado,08,86601,0.427,6
4/10/20,US,1,Colorado,08,82296,1.163,16
3/1/20,US,1,Connecticut,09,48664,4.172,61
3/2/20,US,1,Connecticut,09,51311,6.703,99
3/3/20,US,1,Connecticut,09,52811,6.615,98
3/4/20,US,1,Connecticut,09,55096,6.74,100
3/5/20,US,1,Connecticut,09,52620,7.25,107
3/6/20,US,1,Connecticut,09,51831,7.54,111
3/7/20,US,1,Connecticut,09,51258,5.866,87
3/8/20,US,1,Connecticut,09,51024,4.067,60
3/9/20,US,1,Connecticut,09,53579,6.607,98
3/10/20,US,1,Connecticut,09,52997,6.638,98
3/11/20,US,1,Connecticut,09,52376,6.51,96
3/12/20,US,1,Connecticut,09,51967,6.494,96
3/13/20,US,1,Connecticut,09,50038,5.762,85
3/14/20,US,1,Connecticut,09,48044,3.85,57
3/15/20,US,1,Connecticut,09,47283,2.174,32
3/16/20,US,1,Connecticut,09,47748,4.056,60
3/17/20,US,1,Connecticut,09,49659,2.666,39
3/18/20,US,1,Connecticut,09,48583,2.598,38
3/19/20,US,1,Connecticut,09,48129,2.174,32
3/20/20,US,1,Connecticut,09,44355,2.992,44
3/21/20,US,1,Connecticut,09,38889,0.849,12
3/22/20,US,1,Connecticut,09,43150,0.188,2
3/23/20,US,1,Connecticut,09,47178,0.092,1
3/24/20,US,1,Connecticut,09,48780,0.537,7
3/25/20,US,1,Connecticut,09,46710,0.344,5
3/26/20,US,1,Connecticut,09,48661,0.997,14
3/27/20,US,1,Connecticut,09,48669,1.401,20
3/28/20,US,1,Connecticut,09,47069,0.07,1
3/29/20,US,1,Connecticut,09,48640,0.033,0
3/30/20,US,1,Connecticut,09,49599,0.123,1
3/31/20,US,1,Connecticut,09,49396,0.299,4
4/1/20,US,1,Connecticut,09,49830,0.462,6
4/2/20,US,1,Connecticut,09,48542,0.396,5
4/3/20,US,1,Connecticut,09,47649,0.372,5
4/4/20,US,1,Connecticut,09,47142,0.318,4
4/5/20,US,1,Connecticut,09,48687,0.05,0
4/6/20,US,1,Connecticut,09,46821,0.561,8
4/7/20,US,1,Connecticut,09,47317,0.604,8
4/8/20,US,1,Connecticut,09,47407,0.176,2
4/9/20,US,1,Connecticut,09,47661,0.063,0
4/10/20,US,1,Connecticut,09,44638,0.643,9
3/1/20,US,1,Delaware,10,16313,4.981,59
3/2/20,US,1,Delaware,10,17024,8.269,99
3/3/20,US,1,Delaware,10,17324,8.322,100
3/4/20,US,1,Delaware,10,18139,8.092,97
3/5/20,US,1,Delaware,10,17288,8.654,103
3/6/20,US,1,Delaware,10,16886,8.773,105
3/7/20,US,1,Delaware,10,17004,7.342,88
3/8/20,US,1,Delaware,10,16859,5.37,64
3/9/20,US,1,Delaware,10,17540,7.845,94
3/10/20,US,1,Delaware,10,17410,7.964,95
3/11/20,US,1,Delaware,10,17289,7.986,95
3/12/20,US,1,Delaware,10,17045,8.439,101
3/13/20,US,1,Delaware,10,16417,8.015,96
3/14/20,US,1,Delaware,10,16017,5.126,61
3/15/20,US,1,Delaware,10,15764,2.888,34
3/16/20,US,1,Delaware,10,15800,5.704,68
3/17/20,US,1,Delaware,10,16577,4.496,54
3/18/20,US,1,Delaware,10,16088,3.728,44
3/19/20,US,1,Delaware,10,16023,3.517,42
3/20/20,US,1,Delaware,10,15233,4.59,55
3/21/20,US,1,Delaware,10,13485,0.991,11
3/22/20,US,1,Delaware,10,14627,0.19,2
3/23/20,US,1,Delaware,10,15819,1.758,21
3/24/20,US,1,Delaware,10,16257,0.661,7
3/25/20,US,1,Delaware,10,15509,0.135,1
3/26/20,US,1,Delaware,10,16125,1.366,16
3/27/20,US,1,Delaware,10,16124,1.789,21
3/28/20,US,1,Delaware,10,15743,0.044,0
3/29/20,US,1,Delaware,10,16656,0.047,0
3/30/20,US,1,Delaware,10,16630,0.8,9
3/31/20,US,1,Delaware,10,16476,0.329,3
4/1/20,US,1,Delaware,10,16488,0.612,7
4/2/20,US,1,Delaware,10,16049,1.034,12
4/3/20,US,1,Delaware,10,16025,1.336,16
4/4/20,US,1,Delaware,10,15642,0.102,1
4/5/20,US,1,Delaware,10,16242,0.054,0
4/6/20,US,1,Delaware,10,15682,0.592,7
4/7/20,US,1,Delaware,10,15860,0.5,6
4/8/20,US,1,Delaware,10,16036,0.815,9
4/9/20,US,1,Delaware,10,16292,0.345,4
4/10/20,US,1,Delaware,10,15169,0.978,11
3/1/20,US,1,Florida,12,448216,5.847,71
3/2/20,US,1,Florida,12,471849,8.127,99
3/3/20,US,1,Florida,12,478867,8.147,100
3/4/20,US,1,Florida,12,491475,8.133,99
3/5/20,US,1,Florida,12,476604,8.485,104
3/6/20,US,1,Florida,12,473093,9.065,111
3/7/20,US,1,Florida,12,473994,7.541,92
3/8/20,US,1,Florida,12,470542,5.558,68
3/9/20,US,1,Florida,12,488402,7.855,96
3/10/20,US,1,Florida,12,484678,8.086,99
3/11/20,US,1,Florida,12,481888,8.236,101
3/12/20,US,1,Florida,12,477395,8.323,102
3/13/20,US,1,Florida,12,465646,8.39,102
3/14/20,US,1,Florida,12,450586,6.142,75
3/15/20,US,1,Florida,12,440176,4.27,52
3/16/20,US,1,Florida,12,443600,6.247,76
3/17/20,US,1,Florida,12,457676,5.416,66
3/18/20,US,1,Florida,12,443087,4.543,55
3/19/20,US,1,Florida,12,438077,4.64,56
