source,title,content,url,publishTime,Location
KTRK-TV,11 Memorial Hermann employees self-quarantine after contact with coronavirus patient,"Health officials say there are six cases of COVID-19, novel coronavirus around the area, including one 'presumptive positive' and one...",https://abc13.com/5993682,1 day ago,Texas
KTRK-TV,COVID-19 cases increase to 5 in Houston area,"Health officials say there are five confirmed cases of COVID-19, novel coronavirus around the area, including one 'presumptive positive' in...",https://abc13.com/5989949,2 days ago,Texas
WFAA.com,'Prepare but don't panic' is the message from Dallas COVID-19 experts,"But while the Houston-area has six confirmed COVID-19 cases, there are none in Dallas. None in north Texas. “What's nice is for this one we are...",https://www.wfaa.com/article/news/health/coronavirus/prepare-but-dont-panic-is-the-message-from-dallas-covid-19-experts/287-38ba634b-e7b0-4ba5-947d-b2063a587b84,1 day ago,Texas
Houston Chronicle,Officials confirm 8 cases of coronavirus in Houston area,"Hidalgo stressed that there is no evidence here yet of any community spread of the pneumonia-like disease, known as COVID-19. The virus that...",https://www.houstonchronicle.com/news/houston-texas/houston/article/coronavirus-outbreak-fort-bend-harris-county-15109743.php,1 day ago,Texas
KXAN.com,How fast could COVID-19 spread in a crowd? UT researcher weighs in after SXSW cancellation,"Dr. Lauren Meyers, a professor of Integrative Biology at the University of Texas at Austin, is working closely with the Centers for Disease Control (...",https://www.kxan.com/news/coronavirus/how-fast-could-covid-19-spread-in-a-crowd-ut-researcher-weighs-in-after-sxsw-cancellation/,1 day ago,Texas
Medscape,SARS Epidemiology Provides Clues to Potential Tx for COVID-19,"The study found that the SARS-CoV-2, causal agent for COVID-19, uses the same SARS-CoV receptor, ACE2, for entry and uses the serine...",https://www.medscape.com/viewarticle/926332,2 days ago,Texas
Texas Public Radio,San Antonio Tourism Is Bleeding As Fears Of COVID-19 Persist,Fargason suffers from an auto-immune disease that makes him especially susceptible to COVID-19. So when news broke that a Wuhan evacuee...,https://www.tpr.org/post/san-antonio-tourism-bleeding-fears-covid-19-persist,2 days ago,Texas
KIIITV.com,Abbott: Corpus Christi will be equipped with COVID-19 testing lab in the coming days,"CORPUS CHRISTI, Texas — A Corpus Christi lab will soon be able to test for the coronavirus, according to Texas Governor Greg Abbott.",https://www.kiiitv.com/article/news/abbott-corpus-christi-will-be-equipped-with-covid-19-testing-lab-in-the-coming-days/503-40830cbe-1301-4e12-aaf5-4074f7c243cc,2 days ago,Texas
NBCNews.com,Coronavirus updates live: U.S. death toll climbs to 14,"Harris County, Texas, health officials said Thursday night that they have a new presumptive case of COVID-19, which adds to two other...",https://www.nbcnews.com/health/health-news/live-blog/coronavirus-updates-live-california-declares-emergency-governments-race-stop-spread-n1150561/ncrd1151216,3 days ago,Texas
KRIS Corpus Christi News,"Local News Locals react to Texas COVID-19 cases, state's response Seth Kovar 8:42 PM","CORPUS CHRISTI, Texas — Corpus Christi residents are reacting with mixed emotions to the mixed bag of news regarding COVID-19, the...",https://www.kristv.com/news/local-news/locals-react-to-texas-covid-19-cases-states-response,2 days ago,Texas
