source,title,content,url,publishTime,Location
MarketWatch,China gets back to work — sort of — as number of new COVID-19 cases wanes,"This is the immediate result of the abatement of COVID-19 in China and ... China's stock markets, meanwhile, have continued their unpredictability. ... to be released Saturday morning Beijing time and is expected to show that...",https://www.marketwatch.com/story/china-gets-back-to-work-sort-of-as-number-of-new-covid-19-cases-wanes-2020-02-28,4 hours ago,Beijing
The Economist,"Covid-19 is now in 50 countries, and things will get worse","Iran, where the first covid-19 cases were reported two days before Italy's, has also ... As of the morning of February 27th, stock markets had fallen by 8% in ... impact of SARS was greatest in places like Hong Kong and Beijing.",https://www.economist.com/briefing/2020/02/29/covid-19-is-now-in-50-countries-and-things-will-get-worse,13 mins ago,Beijing
Financial Times,Coronavirus: California monitoring 8400 people for Covid-19,"The challenges of treating Covid-19 have been shown again by the relapse of a ... Asian stocks fall after US confirms coronavirus transmission ... patients with coronavirus, amid tensions between Beijing and New Delhi over...",https://www.ft.com/content/d59c359d-45e3-3801-8b4b-48708ff5fe83,20 hours ago,Beijing
CNBC,"Coronavirus: New Zealand, Nigeria report first cases, China's death toll over 2,700","All times below are in Beijing time. ... A surge in coronavirus cases outside China has sent stock markets across the world tanking, with Wall...",https://www.cnbc.com/2020/02/28/coronavirus-latest-updates-china-hubei-south-korea.html,19 hours ago,Beijing
Investor's Business Daily,Coronavirus Vaccine Hunt Sends Biotech Companies Scrambling ...,"As fears of a global Covid-19 pandemic pummel the stock market, ... based outlet is also backed by a company called Beijing Advaccine...",https://www.investors.com/news/technology/coronavirus-vaccine-hunt-sends-biotech-companies-scrambling-treat-covid-19/,1 day ago,Beijing
CNBC,"Coronavirus live updates: WHO says hospitals worldwide 'not ready,' Hong Kong dog tests positive","Although the majority of COVID-19 cases have been in China, officials have ... global fears about the deadly coronavirus sent stocks plummeting once again. ... United also said it will extend its suspension of service to Beijing,...",https://www.cnbc.com/2020/02/28/coronavirus-latest-updates-outbreak.html,5 hours ago,Beijing
Nasdaq,"Gilead Antiviral Drug Shows the Most Potential for COVID-19, Says WHO Official","... went on to say during a Beijing briefing that remdesivir seems to be the ""one ... Shares of Gilead shot up by as much as 6.9% following the briefing. ... Although the COVID-19 epidemic is becoming a major worldwide issue,...",https://www.nasdaq.com/articles/gilead-antiviral-drug-shows-the-most-potential-for-covid-19-says-who-official-2020-02-24,3 days ago,Beijing
CNBC,"Coronavirus: Iran's deputy health minister positive for COVID-19, South Korea to launch mass testing","All times below are in Beijing time. ... Europe's biggest outbreak of COVID-19 is in Italy, with more than 220 cases reported in the country. ... Stocks fell sharply as the number of cases outside China surged, stoking fears of a...",https://www.cnbc.com/2020/02/25/coronavirus-latest-updates-china-asia-markets.html,3 days ago,Beijing
Economic Times,World stocks set for worst week since 2008 as Covid-19 fears grip markets,World stocks set for worst week since 2008 as Covid-19 fears grip markets ... fell and Beijing doled out measures to shore up economic growth.,https://economictimes.indiatimes.com/markets/stocks/news/world-stocks-set-for-worst-week-since-2008-as-virus-fears-grip-markets/articleshow/74365590.cms,16 hours ago,Beijing
Observer,"Amid Coronavirus-Induced Stock Rout, This Drug Maker May Have a ‘Cure’","But amid the stock rout, Gilead Sciences, a U.S. biotech company, was ... On Monday, the World Health Organization said at a press conference in Beijing ... only antiviral drug that may have “real efficacy” in treating COVID-19.",https://observer.com/2020/02/coronavirus-convid-19-stock-gilead-sciences-drug-testing/,3 days ago,Beijing
CIDRAP,WHO joint mission shares China experience; COVID-19 escalates in ...,"WHO joint mission shares China experience; COVID-19 escalates in ... Though Wuhan and Hubei province are the epicenter, the outbreak...",http://www.cidrap.umn.edu/news-perspective/2020/02/who-joint-mission-shares-china-experience-covid-19-escalates-europe-mideast,2 days ago,Wuhan
CNBC,"Coronavirus: Iran's deputy health minister positive for COVID-19, South Korea to launch mass testing","Europe's biggest outbreak of COVID-19 is in Italy, with more than 220 cases reported ... about a loosening in regulations for the capital city of Wuhan. ... Stocks fell sharply as the number of cases outside China surged, stoking...",https://www.cnbc.com/2020/02/25/coronavirus-latest-updates-china-asia-markets.html,3 days ago,Wuhan
