tweet_url,name,username,published_date,tweet_description,tweet_image,number_comments,number_shares,number_likes,Location
https://twitter.com/TrackerCorona/status/1236454019121311744,CoronaTracker,@TrackerCorona,18h,"COVID-19 Update: This tracker has found new cases in Washington and New York and California and Illinois and Texas and New Jersey and Colorado and Georgia and Arizona and Rhode Island and Oregon and Florida and Connecticut and South Carolina and Utah and Hawaii and Oklahoma, and ",https://pbs.twimg.com/media/ESjEX7ZVAAASYy3.png,2,3,1,Texas
https://twitter.com/TexasTribune/status/1236411556705062912,Texas Tribune,@TexasTribune,21h,Economists monitoring the potential effects of the coronavirus on Texas’ international trade don’t want people to panic. But they believe it’s only a matter of time before a major disruption in the global supply chain impacts the state’s economy. http://bit.ly/2VPg2kL ,,1,16,21,Texas
https://twitter.com/k1ckesports/status/1236722012258787330,K1CK,@k1ckesports,23m,"Electronic Arts decided to postpone the Apex Legends Global Series Major 1, which was scheduled for March 13th-15th in Arlington, Texas, USA, due to the COVID-19 outbreak.

 http://bit.ly/Major1UpdateEN 
 http://bit.ly/Major1UpdatePT 
#WeAreK1CK | #K1CKAPEX",https://pbs.twimg.com/media/ESm1WRcXYAE-sTS.jpg,0,2,7,Texas
https://twitter.com/jeffreyatucker/status/1236724557899354117,Jeffrey A Tucker,@jeffreyatucker,13m,"Based on the Austin, Texas, precedent, any mayor of any town in America can right now declare a state of emergency, cancel events, shut malls, close parks, shudder restaurants, and quarantine whole neighborhoods. https://www.aier.org/article/why-this-draconian-response-to-covid-19/ …",,3,7,10,Texas
https://twitter.com/kr3at/status/1236386107329257472,Alexander Higgins - Coronavirus Updates,@kr3at,23h,"BREAKING: 2 more cases of Covid-19 #CoronaVirus reported in Fort Bend, Texas being total #Covid19 cases in the state total 9, with 8 cases in the Houston area.https://patch.com/texas/houston/2-new-coronavirus-cases-fort-bend-county-8-houston-area …",,0,11,14,Texas
https://twitter.com/0choichoi/status/1236455137197121538,ちょいちょい,@0choichoi,18h,Coronavirus Disease 2019 (COVID-19) in Texas https://dshs.texas.gov/coronavirus/ ,,1,0,1,Texas
https://twitter.com/dianna_mccarty/status/1236292266798518273,Dianna L McCarty,@dianna_mccarty,Mar 7,To all who were interested in attending this year's annual converence in Texas - COVID-19 and the MGFA 2020 National Conference https://t.e2ma.net/share/inbound/t/q6va4c/y43t9t …,,0,0,0,Texas
https://twitter.com/LifeOTBHighways/status/1236370218752061441,Kat & Jackson,@LifeOTBHighways,24h,Covid-19 Comes to Texas http://lifeonthebluehighways.com/2020/03/07/covid-19-comes-to-texas/ …,https://pbs.twimg.com/media/ESh4KW4WoAAONnm.jpg,0,0,0,Texas
https://twitter.com/AmyWaer/status/1236338706480586752,"Amy Waer, MD, FACS",@AmyWaer,Mar 7,Dr. Julian Leibowitz speaking at our Texas A&M University College of Medicine Rapport Society Spring meeting in College Station on COVID-19 today ,https://pbs.twimg.com/media/EShbeAEWsAAaWdf.jpg,0,0,3,Texas
https://twitter.com/kr3at/status/1236383479933403137,Alexander Higgins - Coronavirus Updates,@kr3at,23h,"BREAKING: One Case Of COVID-19 #CoronaVirus Confirmed In Montgomery County, Texas
http://emcgazette.com/breaking-one-case-of-covid-confirmed-in-montgomery-county-p3725-214.htm …",,0,4,3,Texas
