,Unnamed: 0,Unnamed: 0.1,Unnamed: 0_x,provinceName,provinceEnglishName,province_zipCode,cityName,cityEnglishName,city_zipCode,province_confirmedCount,province_suspectedCount,province_curedCount,province_deadCount,city_confirmedCount,city_suspectedCount,city_curedCount,city_deadCount,updateTime,Latitude,Longitude,GbProv_x,Prov_CH_x,ProvEN,Total,三级甲等医院,专科医院,传染病医院,医疗保健服务场所,卫生院,口腔医院,妇科医院,急救中心,整形美容,疾病预防,眼科医院,精神病医院,综合医院,耳鼻喉医院,肿瘤医院,胸科医院,脑科医院,诊所,骨科医院,Unnamed: 0_y,Population,Land_Area_mi2,Temperature_03_12
0,0,0,35,四川省,Sichuan,51,凉山,Liangshan,,177,0,1,1,3,0,0,0,41:57.9,27.8877523,102.2735027,51,四川省,Sichuan,37107,541,17.0,43,11718,5013,2394,156,233,436,547,296,50.0,3605,55.0,53.0,12.0,13,11546,379,,4680000,23266.96,271.8
1,1,1,104,新疆维吾尔自治区,Xinjiang,65,塔城,Tacheng,654201.0,39,0,0,0,4,0,0,0,35:05.3,46.75094825,82.98723552,65,新疆,Xinjiang,7590,74,5.0,24,2568,684,507,42,35,54,120,57,3.0,942,4.0,5.0,5.0,5,2438,18,,924000,40365.436,263.26
2,2,2,140,青海省,Qinghai,63,西宁,Xining,630100.0,18,0,18,0,15,0,15,0,19:02.9,36.6233847,101.7844502,63,青海省,Qinghai,5723,114,12.0,14,1449,704,634,32,65,67,149,34,7.0,783,7.0,7.0,2.0,3,1611,29,322.0,"1,539,000",2846.0,261.65
3,3,3,141,青海省,Qinghai,63,海北州,Haibei,632200.0,18,0,18,0,3,0,3,0,19:02.9,36.96066282,100.9074343,63,青海省,Qinghai,5723,114,12.0,14,1449,704,634,32,65,67,149,34,7.0,783,7.0,7.0,2.0,3,1611,29,,284300,13278.0,255.14
4,4,4,142,西藏自治区,Xizang,54,拉萨,Lhasa,540100.0,1,0,1,0,1,0,1,0,19:02.9,29.65004027,91.12082392,54,西藏,Xizang,917,6,,3,233,105,25,6,11,3,34,2,,115,,,,3,369,2,,902500,11303.0,263.28
5,5,5,143,重庆市,Chongqing,50,酉阳县,Youyang Tujia and Miao Autonomous County,0.0,575,0,335,6,1,0,0,0,13:06.6,28.84704026,108.774586,50,重庆市,Chongqing,5049,200,5.0,20,869,885,872,61,53,201,143,138,27.0,674,25.0,23.0,9.0,6,731,107,,,,284.98
6,6,6,146,贵州省,Guizhou,52,黔西南州,Qianxinan,522300.0,146,0,112,2,4,0,4,0,39:05.1,25.09396735,104.91249209999998,52,贵州省,Guizhou,15627,150,14.0,22,5886,1377,783,114,139,86,245,79,11.0,1947,22.0,18.0,16.0,4,4634,80,,2860000,6488.446999999999,288.46
7,7,7,147,贵州省,Guizhou,52,安顺,Anshun,520400.0,146,0,112,2,4,0,4,0,39:05.1,26.25925238,105.9544171,52,贵州省,Guizhou,15627,150,14.0,22,5886,1377,783,114,139,86,245,79,11.0,1947,22.0,18.0,16.0,4,4634,80,268.0,"600,000",3579.0,279.64
8,8,8,148,贵州省,Guizhou,52,黔东南州,Qiandongnan,522600.0,146,0,112,2,10,0,10,0,39:05.1,26.58970297,107.9894462,52,贵州省,Guizhou,15627,150,14.0,22,5886,1377,783,114,139,86,245,79,11.0,1947,22.0,18.0,16.0,4,4634,80,,3538300,11583.065,282.48
9,9,9,149,贵州省,Guizhou,52,铜仁,Tongren,520600.0,146,0,112,2,10,0,10,0,39:05.1,27.73778646,109.1964389,52,贵州省,Guizhou,15627,150,14.0,22,5886,1377,783,114,139,86,245,79,11.0,1947,22.0,18.0,16.0,4,4634,80,,4402400,6955.2440000000015,284.86
