STATE,COUNTY,BEDS
Alabama,AUTAUGA COUNTY,85
Alabama,BALDWIN COUNTY,398
Alabama,BARBOUR COUNTY,74
Alabama,BIBB COUNTY,35
Alabama,BLOUNT COUNTY,40
Alabama,BULLOCK COUNTY,61
Alabama,BUTLER COUNTY,94
Alabama,CALHOUN COUNTY,590
Alabama,CHAMBERS COUNTY,115
Alabama,CHEROKEE COUNTY,60
Alabama,CHILTON COUNTY,26
Alabama,CHOCTAW COUNTY,25
Alabama,CLARKE COUNTY,85
Alabama,CLAY COUNTY,45
Alabama,COFFEE COUNTY,131
Alabama,COLBERT COUNTY,363
Alabama,CONECUH COUNTY,58
Alabama,COVINGTON COUNTY,210
Alabama,CRENSHAW COUNTY,93
Alabama,CULLMAN COUNTY,185
Alabama,DALE COUNTY,89
Alabama,DALLAS COUNTY,175
Alabama,DEKALB COUNTY,134
Alabama,ELMORE COUNTY,138
Alabama,ESCAMBIA COUNTY,142
Alabama,ETOWAH COUNTY,739
Alabama,FAYETTE COUNTY,61
Alabama,FRANKLIN COUNTY,125
Alabama,GENEVA COUNTY,83
Alabama,GREENE COUNTY,20
Alabama,HALE COUNTY,39
Alabama,HOUSTON COUNTY,782
Alabama,JACKSON COUNTY,170
Alabama,JEFFERSON COUNTY,4926
Alabama,LAUDERDALE COUNTY,358
Alabama,LAWRENCE COUNTY,98
Alabama,LEE COUNTY,314
Alabama,LIMESTONE COUNTY,102
Alabama,MACON COUNTY,0
Alabama,MADISON COUNTY,1178
Alabama,MARENGO COUNTY,99
Alabama,MARION COUNTY,120
Alabama,MARSHALL COUNTY,240
Alabama,MOBILE COUNTY,1929
Alabama,MONGOMERY COUNTY,0
Alabama,MONROE COUNTY,94
Alabama,MONTGOMERY COUNTY,1143
Alabama,MORGAN COUNTY,476
Alabama,PICKENS COUNTY,56
Alabama,PIKE COUNTY,97
Alabama,RANDOLPH COUNTY,34
Alabama,RUSSELL COUNTY,118
Alabama,SHELBY COUNTY,349
Alabama,ST. CLAIR COUNTY,40
Alabama,SUMTER COUNTY,33
Alabama,TALLADEGA COUNTY,285
Alabama,TALLAPOOSA COUNTY,127
Alabama,TUSCALOOSA COUNTY,933
Alabama,WALKER COUNTY,267
Alabama,WASHINGTON COUNTY,25
Alabama,WILCOX COUNTY,30
Alabama,WINSTON COUNTY,59
Alaska,ALEUTIANS WEST COUNTY,0
Alaska,ANCHORAGE COUNTY,988
Alaska,BETHEL COUNTY,37
Alaska,DILLINGHAM COUNTY,14
Alaska,FAIRBANKS NORTH STAR COUNTY,217
Alaska,JUNEAU COUNTY,0
Alaska,KENAI PENINSULA COUNTY,204
Alaska,KETCHIKAN GATEWAY COUNTY,54
Alaska,KODIAK ISLAND COUNTY,25
Alaska,MATANUSKA-SUSITNA COUNTY,74
Alaska,NOME COUNTY,36
Alaska,NORTH SLOPE COUNTY,0
Alaska,NORTHWEST ARCTIC COUNTY,17
Alaska,SITKA COUNTY,54
Alaska,VALDEZ-CORDOVA COUNTY,44
Alaska,WRANGELL-PETERSBURG COUNTY,49
American Samoa,MAOPUTASI COUNTY,0
Arizona,APACHE COUNTY,45
Arizona,COCHISE COUNTY,267
Arizona,COCONINO COUNTY,308
Arizona,GILA COUNTY,69
Arizona,GRAHAM COUNTY,49
Arizona,LA PAZ COUNTY,25
Arizona,MARICOPA COUNTY,9767
Arizona,MOHAVE COUNTY,588
Arizona,NAVAJO COUNTY,130
Arizona,PIMA COUNTY,3157
Arizona,PINAL COUNTY,249
Arizona,SANTA CRUZ COUNTY,56
Arizona,YAVAPAI COUNTY,332
Arizona,YUMA COUNTY,410
Arkansas,ARKANSAS COUNTY,25
Arkansas,ASHLEY COUNTY,33
Arkansas,BAXTER COUNTY,268
Arkansas,BENTON COUNTY,335
Arkansas,BOONE COUNTY,174
Arkansas,BRADLEY COUNTY,35
Arkansas,CARROLL COUNTY,47
Arkansas,CHICOT COUNTY,40
Arkansas,CLARK COUNTY,25
Arkansas,CLAY COUNTY,25
Arkansas,CLEBURNE COUNTY,25
Arkansas,COLUMBIA COUNTY,70
Arkansas,CONWAY COUNTY,35
Arkansas,CRAIGHEAD COUNTY,631
Arkansas,CRAWFORD COUNTY,103
Arkansas,CRITTENDEN COUNTY,206
Arkansas,CROSS COUNTY,25
Arkansas,DALLAS COUNTY,25
Arkansas,DESHA COUNTY,50
Arkansas,DREW COUNTY,49
Arkansas,FAULKNER COUNTY,172
Arkansas,FRANKLIN COUNTY,0
Arkansas,FULTON COUNTY,25
Arkansas,GARLAND COUNTY,646
Arkansas,GREENE COUNTY,129
Arkansas,HEMPSTEAD COUNTY,79
Arkansas,HOT SPRING COUNTY,100
Arkansas,HOWARD COUNTY,25
Arkansas,INDEPENDENCE COUNTY,199
Arkansas,IZARD COUNTY,25
Arkansas,JACKSON COUNTY,133
Arkansas,JEFFERSON COUNTY,498
Arkansas,JOHNSON COUNTY,80
Arkansas,LAWRENCE COUNTY,25
Arkansas,LITTLE RIVER COUNTY,25
Arkansas,LOGAN COUNTY,41
Arkansas,MILLER COUNTY,62
Arkansas,MISSISSIPPI COUNTY,193
Arkansas,OUACHITA COUNTY,100
Arkansas,PHILLIPS COUNTY,155
Arkansas,PIKE COUNTY,32
Arkansas,POLK COUNTY,65
Arkansas,POPE COUNTY,170
Arkansas,PULASKI COUNTY,3323
Arkansas,RANDOLPH COUNTY,50
Arkansas,SALINE COUNTY,244
Arkansas,SCOTT COUNTY,0
Arkansas,SEBASTIAN COUNTY,1050
Arkansas,SEVIER COUNTY,35
Arkansas,ST. FRANCIS COUNTY,118
Arkansas,STONE COUNTY,25
Arkansas,UNION COUNTY,166
Arkansas,VAN BUREN COUNTY,25
Arkansas,WASHINGTON COUNTY,876
Arkansas,WHITE COUNTY,506
Arkansas,YELL COUNTY,76
California,ALAMEDA COUNTY,4046
California,AMADOR COUNTY,52
California,BUTTE COUNTY,592
California,CALAVERAS COUNTY,48
California,COLUSA COUNTY,48
California,CONTRA COSTA COUNTY,1993
California,DEL NORTE COUNTY,49
California,EL DORADO COUNTY,240
California,FRESNO COUNTY,3551
California,GLENN COUNTY,47
California,HUMBOLDT COUNTY,299
California,IMPERIAL COUNTY,268
California,INYO COUNTY,62
California,KERN COUNTY,1833
California,KINGS COUNTY,223
California,LAKE COUNTY,62
California,LASSEN COUNTY,38
California,LOS ANGELES COUNTY,30371
California,MADERA COUNTY,462
California,MARIN COUNTY,458
California,MARIPOSA COUNTY,34
California,MENDOCINO COUNTY,141
California,MERCED COUNTY,246
California,MODOC COUNTY,113
California,MONO COUNTY,17
California,MONTEREY COUNTY,793
California,NAPA COUNTY,1780
California,NEVADA COUNTY,176
California,ORANGE COUNTY,8444
California,PLACER COUNTY,748
California,PLUMAS COUNTY,87
California,RIVERSIDE COUNTY,3945
California,SACRAMENTO COUNTY,4159
California,SAN BENITO COUNTY,181
California,SAN BERNARDINO COUNTY,5929
California,SAN DIEGO COUNTY,7658
California,SAN FRANCISCO COUNTY,4828
California,SAN JOAQUIN COUNTY,1280
California,SAN LUIS OBISPO COUNTY,1747
California,SAN MATEO COUNTY,1781
California,SANTA BARBARA COUNTY,1054
California,SANTA CLARA COUNTY,3831
California,SANTA CRUZ COUNTY,432
California,SHASTA COUNTY,763
California,SIERRA COUNTY,39
California,SISKIYOU COUNTY,61
California,SOLANO COUNTY,749
California,SONOMA COUNTY,2071
California,STANISLAUS COUNTY,1729
California,SUTTER COUNTY,92
California,TEHAMA COUNTY,76
California,TRINITY COUNTY,51
California,TULARE COUNTY,2086
California,TUOLUMNE COUNTY,152
California,VENTURA COUNTY,1690
California,YOLO COUNTY,156
California,YUBA COUNTY,173
Colorado,ADAMS COUNTY,716
Colorado,ALAMOSA COUNTY,44
Colorado,ARAPAHOE COUNTY,1018
Colorado,ARCHULETA COUNTY,11
Colorado,BACA COUNTY,79
Colorado,BOULDER COUNTY,700
Colorado,BROOMFIELD COUNTY,92
Colorado,CHAFFEE COUNTY,25
Colorado,CHEYENNE COUNTY,11
Colorado,CONEJOS COUNTY,17
Colorado,DELTA COUNTY,49
Colorado,DENVER COUNTY,2426
Colorado,DOUGLAS COUNTY,456
Colorado,EAGLE COUNTY,58
Colorado,EL PASO COUNTY,1511
Colorado,FREMONT COUNTY,25
Colorado,GARFIELD COUNTY,119
Colorado,GRAND COUNTY,44
Colorado,GUNNISON COUNTY,24
Colorado,HUERFANO COUNTY,20
Colorado,JEFFERSON COUNTY,764
Colorado,KIOWA COUNTY,42
Colorado,KIT CARSON COUNTY,19
Colorado,LA PLATA COUNTY,94
Colorado,LAKE COUNTY,25
Colorado,LARIMER COUNTY,725
Colorado,LAS ANIMAS COUNTY,25
Colorado,LINCOLN COUNTY,50
Colorado,LOGAN COUNTY,25
Colorado,MESA COUNTY,460
Colorado,MOFFAT COUNTY,0
Colorado,MONTEZUMA COUNTY,25
Colorado,MONTROSE COUNTY,69
Colorado,MORGAN COUNTY,69
Colorado,OTERO COUNTY,78
Colorado,PHILLIPS COUNTY,40
Colorado,PITKIN COUNTY,25
Colorado,PROWERS COUNTY,25
Colorado,PUEBLO COUNTY,1292
Colorado,RIO BLANCO COUNTY,46
Colorado,RIO GRANDE COUNTY,17
Colorado,ROUTT COUNTY,98
Colorado,SEDGWICK COUNTY,64
Colorado,SUMMIT COUNTY,34
Colorado,TELLER COUNTY,15
Colorado,WELD COUNTY,300
Colorado,YUMA COUNTY,28
Connecticut,FAIRFIELD COUNTY,2066
Connecticut,HARTFORD COUNTY,2980
Connecticut,LITCHFIELD COUNTY,272
Connecticut,MIDDLESEX COUNTY,215
Connecticut,NEW HAVEN COUNTY,3045
Connecticut,NEW LONDON COUNTY,465
Connecticut,TOLLAND COUNTY,174
Connecticut,WINDHAM COUNTY,234
Delaware,KENT COUNTY,288
Delaware,NEW CASTLE COUNTY,2016
Delaware,SUSSEX COUNTY,476
District of Columbia,DISTRICT OF COLUMBIA COUNTY,4304
Florida,ALACHUA COUNTY,1765
Florida,BAKER COUNTY,1163
Florida,BAY COUNTY,752
Florida,BRADFORD COUNTY,25
Florida,BREVARD COUNTY,1768
Florida,BROWARD COUNTY,6803
Florida,CALHOUN COUNTY,25
Florida,CHARLOTTE COUNTY,823
Florida,CITRUS COUNTY,332
Florida,CLAY COUNTY,416
Florida,COLLIER COUNTY,1051
Florida,COLUMBIA COUNTY,346
Florida,DESOTO COUNTY,49
Florida,DUVAL COUNTY,4071
Florida,ESCAMBIA COUNTY,1310
Florida,FLAGLER COUNTY,99
Florida,FRANKLIN COUNTY,25
Florida,GADSDEN COUNTY,1253
Florida,GULF COUNTY,19
Florida,HARDEE COUNTY,25
Florida,HENDRY COUNTY,25
Florida,HERNANDO COUNTY,620
Florida,HIGHLANDS COUNTY,323
Florida,HILLSBOROUGH COUNTY,4857
Florida,HOLMES COUNTY,20
Florida,INDIAN RIVER COUNTY,612
Florida,JACKSON COUNTY,87
Florida,LAKE COUNTY,943
Florida,LEE COUNTY,2240
Florida,LEON COUNTY,1208
Florida,LEVY COUNTY,40
Florida,MADISON COUNTY,25
Florida,MANATEE COUNTY,806
Florida,MARION COUNTY,919
Florida,MARTIN COUNTY,558
Florida,MIAMI-DADE COUNTY,10243
Florida,MONROE COUNTY,148
Florida,NASSAU COUNTY,54
Florida,OKALOOSA COUNTY,673
Florida,OKEECHOBEE COUNTY,100
Florida,ORANGE COUNTY,4751
Florida,OSCEOLA COUNTY,997
Florida,PALM BEACH COUNTY,4993
Florida,PASCO COUNTY,1440
Florida,PINELLAS COUNTY,4229
Florida,POLK COUNTY,1793
Florida,PUTNAM COUNTY,99
Florida,SANTA ROSA COUNTY,385
Florida,SARASOTA COUNTY,1618
Florida,SEMINOLE COUNTY,965
Florida,ST. JOHNS COUNTY,335
Florida,ST. LUCIE COUNTY,986
Florida,SUMTER COUNTY,339
Florida,SUWANNEE COUNTY,15
Florida,TAYLOR COUNTY,96
Florida,UNION COUNTY,217
Florida,VOLUSIA COUNTY,2042
Florida,WALTON COUNTY,108
Florida,WASHINGTON COUNTY,59
Georgia,APPLING COUNTY,49
Georgia,BACON COUNTY,47
Georgia,BALDWIN COUNTY,340
Georgia,BARROW COUNTY,56
Georgia,BARTOW COUNTY,80
Georgia,BEN HILL COUNTY,75
Georgia,BERRIEN COUNTY,63
Georgia,BIBB COUNTY,1294
Georgia,BLECKLEY COUNTY,25
Georgia,BROOKS COUNTY,25
Georgia,BULLOCH COUNTY,190
Georgia,BURKE COUNTY,40
Georgia,BUTTS COUNTY,25
Georgia,CALHOUN COUNTY,25
Georgia,CAMDEN COUNTY,40
Georgia,CANDLER COUNTY,25
Georgia,CARROLL COUNTY,344
Georgia,CATOOSA COUNTY,185
Georgia,CHARLTON COUNTY,0
Georgia,CHATHAM COUNTY,1717
Georgia,CHATTAHOOCHEE COUNTY,57
Georgia,CHATTOOGA COUNTY,31
Georgia,CHEROKEE COUNTY,79
Georgia,CLARKE COUNTY,574
Georgia,CLAYTON COUNTY,558
Georgia,CLINCH COUNTY,25
Georgia,COBB COUNTY,1274
Georgia,COFFEE COUNTY,88
Georgia,COLQUITT COUNTY,158
Georgia,COOK COUNTY,60
Georgia,COWETA COUNTY,211
Georgia,CRISP COUNTY,73
Georgia,DADE COUNTY,13
Georgia,DECATUR COUNTY,80
Georgia,DEKALB COUNTY,2604
Georgia,DODGE COUNTY,94
Georgia,DOOLY COUNTY,47
Georgia,DOUGHERTY COUNTY,939
Georgia,DOUGLAS COUNTY,192
Georgia,EARLY COUNTY,25
Georgia,EFFINGHAM COUNTY,25
Georgia,ELBERT COUNTY,52
Georgia,EMANUEL COUNTY,72
Georgia,EVANS COUNTY,49
Georgia,FANNIN COUNTY,50
Georgia,FAYETTE COUNTY,157
Georgia,FLOYD COUNTY,910
Georgia,FORSYTH COUNTY,187
Georgia,FRANKLIN COUNTY,271
Georgia,FULTON COUNTY,4902
Georgia,GILMER COUNTY,50
Georgia,GLYNN COUNTY,401
