State,County,ICU Beds,Population Aged 60+
Alabama,Autauga County,6,10523
Alabama,Baldwin County,51,53519
Alabama,Barbour County,5,6150
Alabama,Bibb County,0,4773
Alabama,Blount County,6,13600
Alabama,Bullock County,0,2371
Alabama,Butler County,7,5151
Alabama,Calhoun County,24,27115
Alabama,Chambers County,0,8501
Alabama,Cherokee County,0,7513
Alabama,Chilton County,6,9429
Alabama,Choctaw County,0,3759
Alabama,Clarke County,0,6134
Alabama,Clay County,4,3480
Alabama,Cleburne County,0,3691
Alabama,Coffee County,7,11027
Alabama,Colbert County,22,14062
Alabama,Conecuh County,0,3542
Alabama,Coosa County,0,3145
Alabama,Covington County,13,10290
Alabama,Crenshaw County,0,3371
Alabama,Cullman County,12,19667
Alabama,Dale County,6,10498
Alabama,Dallas County,18,9436
Alabama,DeKalb County,12,15782
Alabama,Elmore County,5,15929
Alabama,Escambia County,14,8677
Alabama,Etowah County,56,25122
Alabama,Fayette County,12,4604
Alabama,Franklin County,7,7054
Alabama,Geneva County,6,6716
Alabama,Greene County,0,2352
Alabama,Hale County,0,3945
Alabama,Henry County,0,4834
Alabama,Houston County,66,23474
Alabama,Jackson County,10,13441
Alabama,Jefferson County,471,138161
Alabama,Lamar County,0,3811
Alabama,Lauderdale County,48,23452
Alabama,Lawrence County,6,7710
Alabama,Lee County,28,24513
Alabama,Limestone County,10,18399
Alabama,Lowndes County,0,2481
Alabama,Macon County,0,4854
Alabama,Madison County,100,70040
Alabama,Marengo County,5,5124
Alabama,Marion County,4,8196
Alabama,Marshall County,20,21466
Alabama,Mobile County,157,88103
Alabama,Monroe County,8,5536
Alabama,Montgomery County,88,44214
Alabama,Morgan County,34,26739
Alabama,Perry County,0,2278
Alabama,Pickens County,4,4974
Alabama,Pike County,9,6441
Alabama,Randolph County,0,6129
Alabama,Russell County,8,10680
Alabama,St. Clair County,6,18943
Alabama,Shelby County,32,41610
Alabama,Sumter County,0,3005
Alabama,Talladega County,14,18842
Alabama,Tallapoosa County,6,11006
Alabama,Tuscaloosa County,84,36426
Alabama,Walker County,12,16386
Alabama,Washington County,0,4103
Alabama,Wilcox County,0,2751
Alabama,Winston County,4,6575
Alaska,Aleutians East County,0,510
Alaska,Aleutians West County,0,707
Alaska,Anchorage County,73,43608
Alaska,Bethel County,0,2082
Alaska,Bristol Bay County,0,164
Alaska,Denali County,0,481
Alaska,Dillingham County,0,701
Alaska,Fairbanks North Star County,13,13950
Alaska,Haines County,0,727
Alaska,Hoonah-Angoon County,0,645
Alaska,Juneau County,9,5907
Alaska,Kenai Peninsula County,6,13154
Alaska,Ketchikan Gateway County,4,2951
Alaska,Kodiak Island Borough County,0,1915
Alaska,Kusilvak County,0,674
Alaska,Lake and Peninsula County,0,189
Alaska,Matanuska-Susitna County,14,16358
Alaska,Nome County,0,1151
Alaska,North Slope Borough County,0,1157
Alaska,Northwest Arctic Borough County,0,851
Alaska,Petersburg Borough County,0,778
Alaska,Prince of Wales-Hyder County,0,1381
Alaska,Sitka Borough County,0,1829
Alaska,Skagway Municipality County,0,175
Alaska,Southeast Fairbanks  County,0,1256
Alaska,Valdez-Cordova  County,0,1790
Alaska,Wrangell City and Borough County,0,756
Alaska,Yakutat City and Borough County,0,142
Alaska,Yukon-Koyukuk County,0,1058
Arizona,Apache County,0,14107
Arizona,Cochise County,12,35231
Arizona,Coconino County,41,23195
Arizona,Gila County,8,18752
Arizona,Graham County,0,6933
Arizona,Greenlee County,0,1631
Arizona,La Paz County,3,9183
Arizona,Maricopa County,1004,808534
Arizona,Mohave County,80,73559
Arizona,Navajo County,12,24267
Arizona,Pima County,296,245814
Arizona,Pinal County,22,100086
Arizona,Santa Cruz County,0,10530
Arizona,Yavapai County,39,85127
Arizona,Yuma County,42,45739
Arkansas,Arkansas County,0,4693
Arkansas,Ashley County,6,5094
Arkansas,Baxter County,17,15979
Arkansas,Benton County,30,44616
Arkansas,Boone County,24,9809
Arkansas,Bradley County,0,2825
Arkansas,Calhoun County,0,1436
Arkansas,Carroll County,0,7997
Arkansas,Chicot County,0,2835
Arkansas,Clark County,0,5000
Arkansas,Clay County,0,4125
Arkansas,Cleburne County,0,8437
Arkansas,Cleveland County,0,2195
Arkansas,Columbia County,6,5481
Arkansas,Conway County,0,5270
Arkansas,Craighead County,66,19242
Arkansas,Crawford County,8,13589
Arkansas,Crittenden County,0,9487
Arkansas,Cross County,0,4020
Arkansas,Dallas County,0,2206
Arkansas,Desha County,0,3044
Arkansas,Drew County,5,3890
Arkansas,Faulkner County,25,19658
Arkansas,Franklin County,0,4640
Arkansas,Fulton County,0,4099
Arkansas,Garland County,41,28731
Arkansas,Grant County,0,4063
Arkansas,Greene County,8,9006
Arkansas,Hempstead County,8,5273
Arkansas,Hot Spring County,6,8417
Arkansas,Howard County,0,3157
Arkansas,Independence County,12,8706
Arkansas,Izard County,0,4226
Arkansas,Jackson County,0,4039
Arkansas,Jefferson County,34,15529
Arkansas,Johnson County,8,5619
Arkansas,Lafayette County,0,2097
Arkansas,Lawrence County,0,4447
Arkansas,Lee County,0,2289
Arkansas,Lincoln County,0,2882
Arkansas,Little River County,0,3272
Arkansas,Logan County,0,5494
Arkansas,Lonoke County,0,12771
Arkansas,Madison County,0,3897
Arkansas,Marion County,0,6057
Arkansas,Miller County,0,9791
Arkansas,Mississippi County,5,8720
Arkansas,Monroe County,0,2254
Arkansas,Montgomery County,0,3095
Arkansas,Nevada County,0,2133
Arkansas,Newton County,0,2612
Arkansas,Ouachita County,8,6183
Arkansas,Perry County,0,2645
Arkansas,Phillips County,6,4632
Arkansas,Pike County,0,3014
Arkansas,Poinsett County,0,5793
Arkansas,Polk County,6,5939
Arkansas,Pope County,11,12757
Arkansas,Prairie County,0,2425
Arkansas,Pulaski County,209,79133
Arkansas,Randolph County,2,4836
Arkansas,St. Francis County,6,5393
Arkansas,Saline County,16,26545
Arkansas,Scott County,0,2606
Arkansas,Searcy County,0,2684
Arkansas,Sebastian County,69,26807
Arkansas,Sevier County,0,3266
Arkansas,Sharp County,0,5487
Arkansas,Stone County,0,4150
Arkansas,Union County,16,9680
Arkansas,Van Buren County,0,5519
Arkansas,Washington County,61,34691
Arkansas,White County,13,16257
Arkansas,Woodruff County,0,1975
Arkansas,Yell County,0,4891
California,Alameda County,282,300276
California,Alpine County,0,429
California,Amador County,6,12967
California,Butte County,43,53616
California,Calaveras County,0,15872
California,Colusa County,0,4027
California,Contra Costa County,163,231404
California,Del Norte County,6,6262
California,El Dorado County,28,49939
California,Fresno County,164,157757
California,Glenn County,0,6019
