Data Source,World Development Indicators,,,
,,,,
Last Updated Date,4/9/20,,,
,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2018
Aruba,ABW,Land area (sq. km),AG.LND.TOTL.K2,180
Afghanistan,AFG,Land area (sq. km),AG.LND.TOTL.K2,652860
Angola,AGO,Land area (sq. km),AG.LND.TOTL.K2,1246700
Albania,ALB,Land area (sq. km),AG.LND.TOTL.K2,27400
Andorra,AND,Land area (sq. km),AG.LND.TOTL.K2,470
Arab World,ARB,Land area (sq. km),AG.LND.TOTL.K2,11232647.01
United Arab Emirates,ARE,Land area (sq. km),AG.LND.TOTL.K2,71020
Argentina,ARG,Land area (sq. km),AG.LND.TOTL.K2,2736690
Armenia,ARM,Land area (sq. km),AG.LND.TOTL.K2,28470
American Samoa,ASM,Land area (sq. km),AG.LND.TOTL.K2,200
Antigua and Barbuda,ATG,Land area (sq. km),AG.LND.TOTL.K2,440
Australia,AUS,Land area (sq. km),AG.LND.TOTL.K2,7692020
Austria,AUT,Land area (sq. km),AG.LND.TOTL.K2,82522.99805
Azerbaijan,AZE,Land area (sq. km),AG.LND.TOTL.K2,82670
Burundi,BDI,Land area (sq. km),AG.LND.TOTL.K2,25680
Belgium,BEL,Land area (sq. km),AG.LND.TOTL.K2,30280
Benin,BEN,Land area (sq. km),AG.LND.TOTL.K2,112760
Burkina Faso,BFA,Land area (sq. km),AG.LND.TOTL.K2,273600
Bangladesh,BGD,Land area (sq. km),AG.LND.TOTL.K2,130170
Bulgaria,BGR,Land area (sq. km),AG.LND.TOTL.K2,108560
Bahrain,BHR,Land area (sq. km),AG.LND.TOTL.K2,778.0000305
"Bahamas, The",BHS,Land area (sq. km),AG.LND.TOTL.K2,10010
Bosnia and Herzegovina,BIH,Land area (sq. km),AG.LND.TOTL.K2,51200
Belarus,BLR,Land area (sq. km),AG.LND.TOTL.K2,202988.0078
Belize,BLZ,Land area (sq. km),AG.LND.TOTL.K2,22810
Bermuda,BMU,Land area (sq. km),AG.LND.TOTL.K2,54.00000095
Bolivia,BOL,Land area (sq. km),AG.LND.TOTL.K2,1083300
Brazil,BRA,Land area (sq. km),AG.LND.TOTL.K2,8358140
Barbados,BRB,Land area (sq. km),AG.LND.TOTL.K2,430
Brunei Darussalam,BRN,Land area (sq. km),AG.LND.TOTL.K2,5270
Bhutan,BTN,Land area (sq. km),AG.LND.TOTL.K2,38143.99902
Botswana,BWA,Land area (sq. km),AG.LND.TOTL.K2,566730
Central African Republic,CAF,Land area (sq. km),AG.LND.TOTL.K2,622980
Canada,CAN,Land area (sq. km),AG.LND.TOTL.K2,9093510
Central Europe and the Baltics,CEB,Land area (sq. km),AG.LND.TOTL.K2,1105054.001
Switzerland,CHE,Land area (sq. km),AG.LND.TOTL.K2,39516.00098
Channel Islands,CHI,Land area (sq. km),AG.LND.TOTL.K2,197.9999924
Chile,CHL,Land area (sq. km),AG.LND.TOTL.K2,743532.0313
China,CHN,Land area (sq. km),AG.LND.TOTL.K2,9388210
Cote d'Ivoire,CIV,Land area (sq. km),AG.LND.TOTL.K2,318000
Cameroon,CMR,Land area (sq. km),AG.LND.TOTL.K2,472710
"Congo, Dem. Rep.",COD,Land area (sq. km),AG.LND.TOTL.K2,2267050
"Congo, Rep.",COG,Land area (sq. km),AG.LND.TOTL.K2,341500
Colombia,COL,Land area (sq. km),AG.LND.TOTL.K2,1109500
Comoros,COM,Land area (sq. km),AG.LND.TOTL.K2,1861.000061
Cabo Verde,CPV,Land area (sq. km),AG.LND.TOTL.K2,4030
Costa Rica,CRI,Land area (sq. km),AG.LND.TOTL.K2,51060
Caribbean small states,CSS,Land area (sq. km),AG.LND.TOTL.K2,404850
Cuba,CUB,Land area (sq. km),AG.LND.TOTL.K2,104020
Curacao,CUW,Land area (sq. km),AG.LND.TOTL.K2,
Cayman Islands,CYM,Land area (sq. km),AG.LND.TOTL.K2,240
Cyprus,CYP,Land area (sq. km),AG.LND.TOTL.K2,9240
Czech Republic,CZE,Land area (sq. km),AG.LND.TOTL.K2,77220
Germany,DEU,Land area (sq. km),AG.LND.TOTL.K2,349360
Djibouti,DJI,Land area (sq. km),AG.LND.TOTL.K2,23180
Dominica,DMA,Land area (sq. km),AG.LND.TOTL.K2,750
Denmark,DNK,Land area (sq. km),AG.LND.TOTL.K2,41990
Dominican Republic,DOM,Land area (sq. km),AG.LND.TOTL.K2,48310
Algeria,DZA,Land area (sq. km),AG.LND.TOTL.K2,2381740
East Asia & Pacific (excluding high income),EAP,Land area (sq. km),AG.LND.TOTL.K2,15913500
Early-demographic dividend,EAR,Land area (sq. km),AG.LND.TOTL.K2,33107752
East Asia & Pacific,EAS,Land area (sq. km),AG.LND.TOTL.K2,24396748.4
Europe & Central Asia (excluding high income),ECA,Land area (sq. km),AG.LND.TOTL.K2,22611288.01
