,US Total Confirmed,Japan Total Confirmed,Italy Total Confirmed,China Total Confirmed,Iran Total Confirmed,Spain Total Confirmed,"Korea, South Total Confirmed",US Total Deaths,Japan Total Deaths,Italy Total Deaths,China Total Deaths,Iran Total Deaths,Spain Total Deaths,"Korea, South Total Deaths",US Total Recovered,Japan Total Recovered,Italy Total Recovered,China Total Recovered,Iran Total Recovered,Spain Total Recovered,"Korea, South Total Recovered",US Mortality Rate,US Recovery Rate,Japan Mortality Rate,Japan Recovery Rate,Italy Mortality Rate,Italy Recovery Rate,China Mortality Rate,China Recovery Rate,Iran Mortality Rate,Iran Recovery Rate,Spain Mortality Rate,Spain Recovery Rate,"Korea, South Mortality Rate","Korea, South Recovery Rate"
1/22/20,1,2,0,548,0,0,1,0,0,0,17,0,0,0,0,0,0,28,0,0,0,0.0,0.0,0.0,0.0,,,0.03102189781021898,0.051094890510948905,,,,,0.0,0.0
1/23/20,1,1,0,643,0,0,1,0,0,0,18,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,0.0,,,0.027993779160186624,0.04665629860031104,,,,,0.0,0.0
1/24/20,2,2,0,920,0,0,2,0,0,0,26,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0.0,,,0.02826086956521739,0.0391304347826087,,,,,0.0,0.0
1/25/20,2,2,0,1406,0,0,2,0,0,0,42,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0.0,,,0.029871977240398292,0.027738264580369845,,,,,0.0,0.0
1/26/20,5,4,0,2075,0,0,3,0,0,0,56,0,0,0,0,1,0,49,0,0,0,0.0,0.0,0.0,0.25,,,0.026987951807228915,0.023614457831325302,,,,,0.0,0.0
1/27/20,5,4,0,2877,0,0,4,0,0,0,82,0,0,0,0,1,0,58,0,0,0,0.0,0.0,0.0,0.25,,,0.028501911713590546,0.02015988877302746,,,,,0.0,0.0
1/28/20,5,7,0,5509,0,0,4,0,0,0,131,0,0,0,0,1,0,101,0,0,0,0.0,0.0,0.0,0.14285714285714285,,,0.0237792702849882,0.01833363586857869,,,,,0.0,0.0
1/29/20,5,7,0,6087,0,0,4,0,0,0,133,0,0,0,0,1,0,120,0,0,0,0.0,0.0,0.0,0.14285714285714285,,,0.021849843929686218,0.019714144898965006,,,,,0.0,0.0
1/30/20,5,11,0,8141,0,0,4,0,0,0,171,0,0,0,0,1,0,135,0,0,0,0.0,0.0,0.0,0.09090909090909091,,,0.0210047905662695,0.01658272939442329,,,,,0.0,0.0
1/31/20,7,15,2,9802,0,0,11,0,0,0,213,0,0,0,0,1,0,214,0,0,0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.021730259130789634,0.021832279126708834,,,,,0.0,0.0
2/1/20,8,20,2,11891,0,1,12,0,0,0,259,0,0,0,0,1,0,275,0,0,0,0.0,0.0,0.0,0.05,0.0,0.0,0.021781179042973678,0.02312673450508788,,,0.0,0.0,0.0,0.0
2/2/20,8,20,2,16630,0,1,15,0,0,0,361,0,0,0,0,1,0,463,0,0,0,0.0,0.0,0.0,0.05,0.0,0.0,0.021707757065544196,0.027841250751653637,,,0.0,0.0,0.0,0.0
2/3/20,11,20,2,19716,0,1,15,0,0,0,425,0,0,0,0,1,0,614,0,0,0,0.0,0.0,0.0,0.05,0.0,0.0,0.02155609657131264,0.031142219517143438,,,0.0,0.0,0.0,0.0
2/4/20,11,22,2,23707,0,1,16,0,0,0,491,0,0,0,0,1,0,843,0,0,0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.020711182351204286,0.035559117560214286,,,0.0,0.0,0.0,0.0
2/5/20,11,22,2,27440,0,1,19,0,0,0,563,0,0,0,0,1,0,1115,0,0,0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.020517492711370263,0.04063411078717201,,,0.0,0.0,0.0,0.0
2/6/20,11,45,2,30587,0,1,23,0,0,0,633,0,0,0,0,1,0,1477,0,0,0,0.0,0.0,0.0,0.022222222222222223,0.0,0.0,0.020695066531533003,0.04828848857357701,,,0.0,0.0,0.0,0.0
2/7/20,11,25,3,34110,0,1,24,0,0,0,718,0,0,0,0,1,0,1999,0,0,1,0.0,0.0,0.0,0.04,0.0,0.0,0.021049545587804162,0.05860451480504251,,,0.0,0.0,0.0,0.041666666666666664
2/8/20,11,25,3,36814,0,1,24,0,0,0,805,0,0,0,0,1,0,2596,0,0,1,0.0,0.0,0.0,0.04,0.0,0.0,0.02186668115390884,0.07051665127397186,,,0.0,0.0,0.0,0.041666666666666664
2/9/20,11,26,3,39829,0,2,25,0,0,0,905,0,0,0,3,1,0,3219,0,0,3,0.0,0.2727272727272727,0.0,0.038461538461538464,0.0,0.0,0.0227221371362575,0.08082050767029049,,,0.0,0.0,0.0,0.12
2/10/20,11,26,3,42354,0,2,27,0,0,0,1012,0,0,0,3,4,0,3918,0,0,3,0.0,0.2727272727272727,0.0,0.15384615384615385,0.0,0.0,0.023893847098266988,0.09250602068281626,,,0.0,0.0,0.0,0.1111111111111111
2/11/20,12,26,3,44386,0,2,28,0,0,0,1112,0,0,0,3,9,0,4636,0,0,3,0.0,0.25,0.0,0.34615384615384615,0.0,0.0,0.025052944622178164,0.1044473482629658,,,0.0,0.0,0.0,0.10714285714285714
2/12/20,12,28,3,44759,0,2,28,0,0,0,1117,0,0,0,3,9,0,5082,0,0,7,0.0,0.25,0.0,0.32142857142857145,0.0,0.0,0.024955874796130387,0.11354141066601131,,,0.0,0.0,0.0,0.25
2/13/20,13,28,3,59895,0,2,28,0,1,0,1369,0,0,0,3,9,0,6217,0,0,7,0.0,0.23076923076923078,0.03571428571428571,0.32142857142857145,0.0,0.0,0.022856665831872444,0.10379831371566908,,,0.0,0.0,0.0,0.25
2/14/20,13,29,3,66358,0,2,28,0,1,0,1521,0,0,0,3,9,0,7977,0,0,7,0.0,0.23076923076923078,0.034482758620689655,0.3103448275862069,0.0,0.0,0.022921124807860394,0.12021157961361102,,,0.0,0.0,0.0,0.25
2/15/20,13,43,3,68413,0,2,28,0,1,0,1663,0,0,0,3,12,0,9298,0,2,9,0.0,0.23076923076923078,0.023255813953488372,0.27906976744186046,0.0,0.0,0.02430824550889451,0.13590984169675355,,,0.0,1.0,0.0,0.32142857142857145
2/16/20,13,59,3,70513,0,2,29,0,1,0,1766,0,0,0,3,12,0,10755,0,2,9,0.0,0.23076923076923078,0.01694915254237288,0.2033898305084746,0.0,0.0,0.025045027158112687,0.15252506629983123,,,0.0,1.0,0.0,0.3103448275862069
2/17/20,13,66,3,72434,0,2,30,0,1,0,1864,0,0,0,3,12,0,12462,0,2,10,0.0,0.23076923076923078,0.015151515151515152,0.18181818181818182,0.0,0.0,0.0257337714333048,0.17204627661043156,,,0.0,1.0,0.0,0.3333333333333333
2/18/20,13,74,3,74211,0,2,31,0,1,0,2003,0,0,0,3,13,0,14206,0,2,12,0.0,0.23076923076923078,0.013513513513513514,0.17567567567567569,0.0,0.0,0.02699060786136826,0.19142714691892038,,,0.0,1.0,0.0,0.3870967741935484
2/19/20,13,84,3,74619,2,2,31,0,1,0,2116,2,0,0,3,18,0,15962,0,2,12,0.0,0.23076923076923078,0.011904761904761904,0.21428571428571427,0.0,0.0,0.02835738886878677,0.21391334646671759,1.0,0.0,0.0,1.0,0.0,0.3870967741935484
2/20/20,13,94,3,75077,5,2,104,0,1,0,2238,2,0,1,3,18,0,18014,0,2,16,0.0,0.23076923076923078,0.010638297872340425,0.19148936170212766,0.0,0.0,0.02980939568709458,0.23994032792999187,0.4,0.0,0.0,1.0,0.009615384615384616,0.15384615384615385
2/21/20,15,105,20,75550,18,2,204,0,1,1,2238,4,0,2,5,22,0,18704,0,2,16,0.0,0.3333333333333333,0.009523809523809525,0.20952380952380953,0.05,0.0,0.029622766379880875,0.24757114493712773,0.2222222222222222,0.0,0.0,1.0,0.00980392156862745,0.0784313725490196
2/22/20,15,122,62,77001,28,2,433,0,1,2,2443,5,0,2,5,22,1,22699,0,2,16,0.0,0.3333333333333333,0.00819672131147541,0.18032786885245902,0.03225806451612903,0.016129032258064516,0.03172686069012091,0.2947883793716965,0.17857142857142858,0.0,0.0,1.0,0.004618937644341801,0.03695150115473441
2/23/20,15,147,155,77022,43,2,602,0,1,3,2445,8,0,6,5,22,2,23187,0,2,18,0.0,0.3333333333333333,0.006802721088435374,0.14965986394557823,0.01935483870967742,0.012903225806451613,0.03174417698839293,0.3010438575991275,0.18604651162790697,0.0,0.0,1.0,0.009966777408637873,0.029900332225913623
2/24/20,51,159,229,77241,61,2,833,0,1,7,2595,12,0,8,5,22,1,25015,0,2,18,0.0,0.09803921568627451,0.006289308176100629,0.13836477987421383,0.03056768558951965,0.004366812227074236,0.03359614712393677,0.3238565010810321,0.19672131147540983,0.0,0.0,1.0,0.009603841536614645,0.021608643457382955
2/25/20,51,170,322,77754,95,6,977,0,1,10,2665,16,0,10,6,22,1,27676,0,2,22,0.0,0.11764705882352941,0.0058823529411764705,0.12941176470588237,0.031055900621118012,0.003105590062111801,0.03427476399927978,0.3559431026056537,0.16842105263157894,0.0,0.0,0.3333333333333333,0.01023541453428864,0.022517911975435005
2/26/20,57,189,453,78166,139,13,1261,0,2,12,2717,19,0,12,6,22,3,30084,49,2,22,0.0,0.10526315789473684,0.010582010582010581,0.1164021164021164,0.026490066225165563,0.006622516556291391,0.034759358288770054,0.38487321853491285,0.1366906474820144,0.35251798561151076,0.0,0.15384615384615385,0.00951625693893735,0.017446471054718478
2/27/20,58,214,655,78600,245,15,1766,0,4,17,2746,26,0,13,6,22,45,32930,49,2,22,0.0,0.10344827586206896,0.018691588785046728,0.102803738317757,0.025954198473282442,0.06870229007633588,0.03493638676844784,0.41895674300254454,0.10612244897959183,0.2,0.0,0.13333333333333333,0.007361268403171008,0.01245753114382786
2/28/20,60,228,888,78928,388,32,2337,0,4,21,2790,34,0,13,7,22,46,36329,73,2,22,0.0,0.11666666666666667,0.017543859649122806,0.09649122807017543,0.02364864864864865,0.0518018018018018,0.035348672207581595,0.4602802554226637,0.08762886597938144,0.18814432989690721,0.0,0.0625,0.005562687205819427,0.009413778348309799
2/29/20,68,241,1128,79356,593,45,3150,1,5,29,2837,43,0,16,7,32,46,39320,123,2,27,0.014705882352941176,0.10294117647058823,0.02074688796680498,0.13278008298755187,0.025709219858156027,0.040780141843971635,0.035750289833156916,0.49548868390543876,0.07251264755480608,0.20741989881956155,0.0,0.044444444444444446,0.005079365079365079,0.008571428571428572
3/1/20,74,256,1694,79932,978,84,3736,1,6,34,2872,54,0,17,7,32,83,42162,175,2,30,0.013513513513513514,0.0945945945945946,0.0234375,0.125,0.020070838252656435,0.048996458087367176,0.03593054095981584,0.5274733523494971,0.05521472392638037,0.17893660531697342,0.0,0.023809523809523808,0.004550321199143469,0.008029978586723769
3/2/20,98,274,2036,80136,1501,120,4335,6,6,52,2914,66,0,28,7,32,149,44854,291,2,30,0.061224489795918366,0.07142857142857142,0.021897810218978103,0.11678832116788321,0.025540275049115914,0.07318271119842829,0.036363182589597684,0.5597234701008286,0.04397068620919387,0.1938707528314457,0.0,0.016666666666666666,0.006459054209919262,0.006920415224913495
3/3/20,118,293,2502,80261,2336,165,5186,7,6,79,2947,77,1,28,7,43,160,47450,291,2,30,0.059322033898305086,0.059322033898305086,0.020477815699658702,0.14675767918088736,0.03157474020783373,0.0639488409272582,0.03671770847609673,0.5911962223246657,0.03296232876712329,0.12457191780821918,0.006060606060606061,0.012121212121212121,0.005399151561897416,0.005784805244890089
3/4/20,149,331,3089,80386,2922,222,5621,11,6,107,2983,92,2,35,7,43,276,50001,552,2,41,0.0738255033557047,0.04697986577181208,0.01812688821752266,0.1299093655589124,0.03463904176108773,0.08934930398187116,0.03710845172044883,0.6220112954992163,0.03148528405201916,0.188911704312115,0.009009009009009009,0.009009009009009009,0.0062266500622665,0.007294075787226472
3/5/20,217,360,3858,80537,3513,259,6088,12,6,148,3015,107,3,35,7,43,414,52292,739,2,41,0.055299539170506916,0.03225806451612903,0.016666666666666666,0.11944444444444445,0.0383618455158113,0.10730948678071539,0.03743620944410644,0.6492916299340675,0.03045829775120979,0.21036151437517792,0.011583011583011582,0.007722007722007722,0.005749014454664914,0.006734559789750329
3/6/20,262,420,4636,80690,4747,400,6593,14,6,197,3044,124,5,42,7,46,523,53944,913,2,135,0.05343511450381679,0.026717557251908396,0.014285714285714285,0.10952380952380952,0.042493528904227786,0.1128127696289905,0.037724625108439706,0.6685338951542942,0.02612176111228144,0.19233199915736254,0.0125,0.005,0.006370392840891855,0.020476262702866677
3/7/20,402,461,5883,80770,5823,500,7041,17,6,233,3072,145,10,44,7,76,589,55539,1669,30,135,0.04228855721393035,0.017412935323383085,0.013015184381778741,0.1648590021691974,0.039605643379228284,0.10011898691143974,0.03803392348644299,0.6876191655317568,0.024901253649321657,0.2866220161428817,0.02,0.06,0.0062491123419968755,0.019173412867490414
3/8/20,518,502,7375,80823,6566,673,7314,21,6,366,3100,194,17,50,7,76,622,57388,2134,30,118,0.04054054054054054,0.013513513513513514,0.01195219123505976,0.15139442231075698,0.0496271186440678,0.08433898305084746,0.03835541863083528,0.7100454078665727,0.02954614681693573,0.32500761498629305,0.02526002971768202,0.04457652303120357,0.006836204539239814,0.01613344271260596
3/9/20,583,511,9172,80860,7161,1073,7478,22,10,463,3123,237,28,53,7,76,724,58804,2394,32,118,0.03773584905660377,0.012006861063464836,0.019569471624266144,0.1487279843444227,0.050479720889664195,0.07893589184474488,0.03862231016571853,0.7272322532772694,0.03309593632174277,0.3343108504398827,0.0260950605778192,0.02982292637465051,0.007087456539181599,0.015779620219309978
3/10/20,959,581,10149,80887,8042,1695,7513,28,10,631,3139,291,35,54,8,101,724,60181,2731,32,247,0.029197080291970802,0.008342022940563087,0.01721170395869191,0.1738382099827883,0.062173613163858506,0.07133707754458567,0.038807224893987906,0.7440132530567335,0.03618502859985078,0.33959214125839343,0.02064896755162242,0.01887905604719764,0.007187541594569413,0.03287634766404898
3/11/20,1281,639,12462,80921,9000,2277,7755,36,15,827,3161,354,54,60,8,118,1045,61644,2959,183,288,0.02810304449648712,0.00624512099921936,0.023474178403755867,0.18466353677621283,0.06636173968865351,0.083854918953619,0.039062789634334724,0.7617800076617937,0.03933333333333333,0.3287777777777778,0.023715415019762844,0.08036890645586298,0.007736943907156673,0.03713733075435203
3/12/20,1663,639,12462,80932,10075,2277,7869,40,16,827,3172,429,55,66,12,118,1045,62901,2959,183,333,0.024052916416115455,0.0072158749248346366,0.025039123630672927,0.18466353677621283,0.06636173968865351,0.083854918953619,0.039193396925814264,0.7772080264913754,0.04258064516129032,0.29369727047146404,0.024154589371980676,0.08036890645586298,0.008387342737323675,0.0423179565383149
3/13/20,2179,701,17660,80945,11364,5232,7979,47,19,1266,3180,514,133,66,12,118,1439,64196,2959,193,510,0.021569527306103717,0.005507113354749885,0.02710413694721826,0.16833095577746077,0.07168742921857305,0.08148357870894678,0.03928593489406387,0.7930817221570202,0.04523055262231609,0.2603836677226329,0.025420489296636085,0.03688837920489297,0.008271713247274095,0.06391778418348164
3/14/20,2727,773,21157,80977,12729,6391,8086,54,22,1441,3193,611,195,72,12,118,1966,65660,2959,517,510,0.019801980198019802,0.0044004400440044,0.028460543337645538,0.15265200517464425,0.06810984544122513,0.09292432764569646,0.03943094952887857,0.8108475246057523,0.048000628486134025,0.23246130882237412,0.030511657017681115,0.08089500860585198,0.008904279000742024,0.063071976255256
3/15/20,3499,839,24747,81003,13938,7798,8162,63,22,1809,3203,724,289,75,12,118,2335,67017,4590,517,510,0.018005144326950558,0.003429551300371535,0.026221692491060787,0.14064362336114422,0.0730997696690508,0.09435487129753102,0.03954174536745553,0.8273397281582163,0.05194432486726933,0.32931554024967713,0.037060784816619646,0.06629905103872788,0.009188924283263906,0.06248468512619456
3/16/20,4632,825,27980,81033,14991,9942,8236,85,27,2158,3217,853,342,75,17,144,2749,67910,4590,530,1137,0.018350604490500865,0.0036701208981001726,0.03272727272727273,0.17454545454545456,0.0771265189421015,0.09824874910650465,0.03969987535942147,0.8380536324707218,0.056900807150957244,0.30618371022613566,0.0343995171997586,0.053309193321263326,0.009106362311801846,0.13805245264691599
3/17/20,6421,878,31506,81058,16169,11748,8320,108,29,2503,3230,988,533,81,17,144,2941,68798,5389,1028,1407,0.01681980999844261,0.0026475626849400405,0.03302961275626424,0.16400911161731208,0.07944518504411859,0.09334729892718847,0.039848010066865704,0.8487502775790174,0.06110458284371328,0.3332921021708207,0.04536942458290773,0.08750425604358189,0.009735576923076923,0.16911057692307693
3/18/20,7783,889,35713,81102,17361,13910,8413,118,29,2978,3241,1135,623,84,0,144,4025,69755,5389,1081,1540,0.015161248875754851,0.0,0.03262092238470191,0.16197975253093364,0.08338700193206955,0.11270405734606447,0.03996202313136544,0.8600897635076817,0.06537641840907782,0.3104083866136743,0.04478792235801582,0.0777138749101366,0.009984547723760846,0.1830500416022822
