,County,2018 Personal Income Per Capita,State
2,Autauga,41618.0,Alabama
3,Baldwin,45596.0,Alabama
4,Barbour,35199.0,Alabama
5,Bibb,30254.0,Alabama
6,Blount,34976.0,Alabama
7,Bullock,28797.0,Alabama
8,Butler,36450.0,Alabama
9,Calhoun,37120.0,Alabama
10,Chambers,33859.0,Alabama
11,Cherokee,35505.0,Alabama
12,Chilton,34798.0,Alabama
13,Choctaw,39280.0,Alabama
14,Clarke,36361.0,Alabama
15,Clay,33530.0,Alabama
16,Cleburne,36159.0,Alabama
17,Coffee,43094.0,Alabama
18,Colbert,38378.0,Alabama
19,Conecuh,32656.0,Alabama
20,Coosa,31328.0,Alabama
21,Covington,35651.0,Alabama
22,Crenshaw,36645.0,Alabama
23,Cullman,39607.0,Alabama
24,Dale,36613.0,Alabama
25,Dallas,36026.0,Alabama
26,DeKalb,31916.0,Alabama
27,Elmore,42269.0,Alabama
28,Escambia,32996.0,Alabama
29,Etowah,36918.0,Alabama
30,Fayette,34966.0,Alabama
31,Franklin,34318.0,Alabama
32,Geneva,35192.0,Alabama
33,Greene,32359.0,Alabama
34,Hale,36585.0,Alabama
35,Henry,40360.0,Alabama
36,Houston,42398.0,Alabama
37,Jackson,36567.0,Alabama
38,Jefferson,54730.0,Alabama
39,Lamar,33496.0,Alabama
40,Lauderdale,37151.0,Alabama
41,Lawrence,34125.0,Alabama
42,Lee,38036.0,Alabama
43,Limestone,42546.0,Alabama
44,Lowndes,38991.0,Alabama
45,Macon,32919.0,Alabama
46,Madison,51445.0,Alabama
47,Marengo,39801.0,Alabama
48,Marion,33264.0,Alabama
49,Marshall,36044.0,Alabama
50,Mobile,38243.0,Alabama
51,Monroe,33456.0,Alabama
52,Montgomery,43688.0,Alabama
53,Morgan,39991.0,Alabama
54,Perry,30535.0,Alabama
55,Pickens,32551.0,Alabama
56,Pike,37359.0,Alabama
57,Randolph,32411.0,Alabama
58,Russell,33104.0,Alabama
59,St. Clair,38569.0,Alabama
60,Shelby,54369.0,Alabama
61,Sumter,31664.0,Alabama
62,Talladega,34718.0,Alabama
63,Tallapoosa,40696.0,Alabama
64,Tuscaloosa,38822.0,Alabama
65,Walker,40197.0,Alabama
66,Washington,36323.0,Alabama
67,Wilcox,32215.0,Alabama
68,Winston,35430.0,Alabama
71,Aleutians East Borough,56676.0,Alaska
72,Aleutians West Census Area,54385.0,Alaska
73,Anchorage Municipality,66510.0,Alaska
74,Bethel Census Area,43500.0,Alaska
75,Bristol Bay Borough,143575.0,Alaska
76,Denali Borough,82919.0,Alaska
77,Dillingham Census Area,59621.0,Alaska
78,Fairbanks North Star Borough,56606.0,Alaska
79,Haines Borough,67059.0,Alaska
80,Hoonah-Angoon Census Area,61752.0,Alaska
81,Juneau City and Borough,68145.0,Alaska
82,Kenai Peninsula Borough,52015.0,Alaska
83,Ketchikan Gateway Borough,67602.0,Alaska
84,Kodiak Island Borough,63938.0,Alaska
85,Kusilvak Census Area,30099.0,Alaska
86,Lake and Peninsula Borough,65414.0,Alaska
87,Matanuska-Susitna Borough,45897.0,Alaska
88,Nome Census Area,51378.0,Alaska
89,North Slope Borough,83489.0,Alaska
90,Northwest Arctic Borough,47854.0,Alaska
91,Petersburg Borough,69995.0,Alaska
92,Prince of Wales-Hyder Census Area,43707.0,Alaska
93,Sitka City and Borough,71972.0,Alaska
94,Skagway Municipality,81471.0,Alaska
95,Southeast Fairbanks Census Area,49398.0,Alaska
96,Valdez-Cordova Census Area,62307.0,Alaska
97,Wrangell City and Borough,47658.0,Alaska
98,Yakutat City and Borough,58937.0,Alaska
99,Yukon-Koyukuk Census Area,59010.0,Alaska
102,Apache,34355.0,Arizona
103,Cochise,40308.0,Arizona
104,Coconino,48129.0,Arizona
105,Gila,40267.0,Arizona
106,Graham,31597.0,Arizona
107,Greenlee,39855.0,Arizona
108,La Paz,30948.0,Arizona
109,Maricopa,47694.0,Arizona
110,Mohave,33148.0,Arizona
111,Navajo,32165.0,Arizona
112,Pima,44028.0,Arizona
113,Pinal,30644.0,Arizona
114,Santa Cruz,39057.0,Arizona
115,Yavapai,40312.0,Arizona
116,Yuma,35682.0,Arizona
120,Ashley,34813.0,Arkansas
121,Baxter,37106.0,Arkansas
122,Benton,88890.0,Arkansas
123,Boone,36089.0,Arkansas
124,Bradley,39491.0,Arkansas
125,Calhoun,34426.0,Arkansas
126,Carroll,33690.0,Arkansas
127,Chicot,36293.0,Arkansas
128,Clark,36314.0,Arkansas
129,Clay,34149.0,Arkansas
130,Cleburne,38307.0,Arkansas
131,Cleveland,40344.0,Arkansas
132,Columbia,38749.0,Arkansas
133,Conway,38191.0,Arkansas
134,Craighead,37531.0,Arkansas
135,Crawford,32952.0,Arkansas
136,Crittenden,36978.0,Arkansas
137,Cross,35949.0,Arkansas
138,Dallas,34645.0,Arkansas
139,Desha,37828.0,Arkansas
140,Drew,37148.0,Arkansas
141,Faulkner,37598.0,Arkansas
142,Franklin,34275.0,Arkansas
143,Fulton,28994.0,Arkansas
144,Garland,40004.0,Arkansas
145,Grant,38201.0,Arkansas
