,_id,Country,Region,Population
0,5e93873181e83387f32ff5ca,China,Asia,1433783686
1,5e93873181e83387f32ff5cb,India,Asia,1366417754
2,5e93873181e83387f32ff5cc,United States,Americas,329064917
3,5e93873181e83387f32ff5cd,Indonesia,Asia,270625568
4,5e93873181e83387f32ff5ce,Pakistan,Asia,216565318
5,5e93873181e83387f32ff5cf,Brazil,Americas,211049527
6,5e93873181e83387f32ff5d0,Nigeria,Africa,200963599
7,5e93873181e83387f32ff5d1,Bangladesh,Asia,163046161
8,5e93873181e83387f32ff5d2,Russia,Europe,145872256
9,5e93873181e83387f32ff5d3,Mexico,Americas,127575529
10,5e93873181e83387f32ff5d4,Japan,Asia,126860301
11,5e93873181e83387f32ff5d5,Ethiopia,Africa,112078730
12,5e93873181e83387f32ff5d6,Philippines,Asia,108116615
13,5e93873181e83387f32ff5d7,Egypt,Africa,100388073
14,5e93873181e83387f32ff5d8,Vietnam,Asia,96462106
15,5e93873181e83387f32ff5d9,DR Congo,Africa,86790567
16,5e93873181e83387f32ff5da,Germany,Europe,83517045
17,5e93873181e83387f32ff5db,Turkey,Asia,83429615
18,5e93873181e83387f32ff5dc,Iran,Asia,82913906
19,5e93873181e83387f32ff5dd,Thailand,Asia,69037513
20,5e93873181e83387f32ff5de,Great Britain,Europe,67530172
21,5e93873181e83387f32ff5df,France,Europe,65129728
22,5e93873181e83387f32ff5e0,Italy,Europe,60550075
23,5e93873181e83387f32ff5e1,South Africa,Africa,58558270
24,5e93873181e83387f32ff5e2,Tanzania,Africa,58005463
25,5e93873181e83387f32ff5e3,Myanmar,Asia,54045420
26,5e93873181e83387f32ff5e4,Kenya,Africa,52573973
27,5e93873181e83387f32ff5e5,South Korea,Asia,51225308
28,5e93873181e83387f32ff5e6,Colombia,Americas,50339443
29,5e93873181e83387f32ff5e7,Spain,Europe,46736776
30,5e93873181e83387f32ff5e8,Argentina,Americas,44780677
31,5e93873181e83387f32ff5e9,Uganda,Africa,44269594
32,5e93873181e83387f32ff5ea,Ukraine,Europe,43993638
33,5e93873181e83387f32ff5eb,Algeria,Africa,43053054
34,5e93873181e83387f32ff5ec,Sudan,Africa,42813238
35,5e93873181e83387f32ff5ed,Iraq,Asia,39309783
36,5e93873181e83387f32ff5ee,Afghanistan,Asia,38041754
37,5e93873181e83387f32ff5ef,Poland,Europe,37887768
38,5e93873181e83387f32ff5f0,Canada,Americas,37411047
39,5e93873181e83387f32ff5f1,Morocco,Africa,36471769
40,5e93873181e83387f32ff5f2,Saudi Arabia,Asia,34268528
41,5e93873181e83387f32ff5f3,Uzbekistan,Asia,32981716
42,5e93873181e83387f32ff5f4,Peru,Americas,32510453
43,5e93873181e83387f32ff5f5,Malaysia,Asia,31949777
44,5e93873181e83387f32ff5f6,Angola,Africa,31825295
45,5e93873181e83387f32ff5f7,Mozambique,Africa,30366036
46,5e93873181e83387f32ff5f8,Yemen,Asia,29161922
47,5e93873181e83387f32ff5f9,Ghana,Africa,28833629
48,5e93873181e83387f32ff5fa,Nepal,Asia,28608710
49,5e93873181e83387f32ff5fb,Venezuela,Americas,28515829
50,5e93873181e83387f32ff5fc,Madagascar,Africa,26969307
51,5e93873181e83387f32ff5fd,North Korea,Asia,25666161
52,5e93873181e83387f32ff5fe,Ivory Coast,Africa,25716544
53,5e93873181e83387f32ff5ff,Cameroon,Africa,25876380
54,5e93873181e83387f32ff600,Australia,Oceania,25203198
55,5e93873181e83387f32ff601,Taiwan,Asia,23773876
56,5e93873181e83387f32ff602,Niger,Africa,23310715
57,5e93873181e83387f32ff603,Sri Lanka,Asia,21323733
58,5e93873181e83387f32ff604,Burkina Faso,Africa,20321378
59,5e93873181e83387f32ff605,Mali,Africa,19658031
60,5e93873181e83387f32ff606,Romania,Europe,19364557
61,5e93873181e83387f32ff607,Malawi,Africa,18628747
62,5e93873181e83387f32ff608,Chile,Americas,18952038
63,5e93873181e83387f32ff609,Kazakhstan,Asia,18551427
64,5e93873181e83387f32ff60a,Zambia,Africa,17861030
65,5e93873181e83387f32ff60b,Guatemala,Americas,17581472
66,5e93873181e83387f32ff60c,Ecuador,Americas,17373662
67,5e93873181e83387f32ff60d,Netherlands,Europe,17097130
68,5e93873181e83387f32ff60e,Syria,Asia,17070135
69,5e93873181e83387f32ff60f,Cambodia,Asia,16486542
70,5e93873181e83387f32ff610,Senegal,Africa,16296364
71,5e93873181e83387f32ff611,Chad,Africa,15946876
72,5e93873181e83387f32ff612,Somalia,Africa,15442905
73,5e93873181e83387f32ff613,Zimbabwe,Africa,14645468
74,5e93873181e83387f32ff614,Guinea,Africa,12771246
75,5e93873181e83387f32ff615,Rwanda,Africa,12626950
76,5e93873181e83387f32ff616,Benin,Africa,11801151
77,5e93873181e83387f32ff617,Tunisia,Africa,11694719
78,5e93873181e83387f32ff618,Belgium,Europe,11539328
79,5e93873181e83387f32ff619,Bolivia,Americas,11513100
80,5e93873181e83387f32ff61a,Cuba,Americas,11333483
81,5e93873181e83387f32ff61b,Haiti,Americas,11263770
82,5e93873181e83387f32ff61c,South Sudan,Africa,11062113
83,5e93873181e83387f32ff61d,Burundi,Africa,10864245
84,5e93873181e83387f32ff61e,Dominican Republic,Americas,10738958
85,5e93873181e83387f32ff61f,Czech Republic,Europe,10689209
86,5e93873181e83387f32ff620,Greece,Europe,10473455
87,5e93873181e83387f32ff621,Portugal,Europe,10226187
88,5e93873181e83387f32ff622,Jordan,Asia,10101694
89,5e93873181e83387f32ff623,Azerbaijan,Asia,10047718
90,5e93873181e83387f32ff624,Sweden,Europe,10036379
91,5e93873181e83387f32ff625,United Arab Emirates,Asia,9770529
92,5e93873181e83387f32ff626,Honduras,Americas,9746117
93,5e93873181e83387f32ff627,Hungary,Europe,9684679
94,5e93873181e83387f32ff628,Belarus,Europe,9452411
95,5e93873181e83387f32ff629,Tajikistan,Asia,9321018
96,5e93873181e83387f32ff62a,Austria,Europe,8955102
97,5e93873181e83387f32ff62b,Papua New Guinea,Oceania,8776109
98,5e93873181e83387f32ff62c,Serbia,Europe,8772235
99,5e93873181e83387f32ff62d,Switzerland,Europe,8591365
100,5e93873181e83387f32ff62e,Israel,Asia,8519377
101,5e93873181e83387f32ff62f,Togo,Africa,8082366
102,5e93873181e83387f32ff630,Sierra Leone,Africa,7813215
103,5e93873181e83387f32ff631,Hong Kong,Asia,7436154
104,5e93873181e83387f32ff632,Laos,Asia,7169455
105,5e93873181e83387f32ff633,Paraguay,Americas,7044636
106,5e93873181e83387f32ff634,Bulgaria,Europe,7000119
107,5e93873181e83387f32ff635,Lebanon,Asia,6855713
108,5e93873181e83387f32ff636,Libya,Africa,6777452
109,5e93873181e83387f32ff637,Nicaragua,Americas,6545502
110,5e93873181e83387f32ff638,El Salvador,Americas,6453553
111,5e93873181e83387f32ff639,Kyrgyzstan,Asia,6415850
112,5e93873181e83387f32ff63a,Turkmenistan,Asia,5942089
113,5e93873181e83387f32ff63b,Singapore,Asia,5804337
114,5e93873181e83387f32ff63c,Denmark,Europe,5771876
115,5e93873181e83387f32ff63d,Finland,Europe,5532156
116,5e93873181e83387f32ff63e,Slovakia,Europe,5457013
117,5e93873181e83387f32ff63f,Congo,Africa,5380508
118,5e93873181e83387f32ff640,Norway,Europe,5378857
119,5e93873181e83387f32ff641,Costa Rica,Americas,5047561
120,5e93873181e83387f32ff642,Palestine,Asia,4981420
121,5e93873181e83387f32ff643,Oman,Asia,4974986
122,5e93873181e83387f32ff644,Liberia,Africa,4937374
123,5e93873181e83387f32ff645,Ireland,Europe,4882495
124,5e93873181e83387f32ff646,New Zealand,Oceania,4783063
125,5e93873181e83387f32ff647,Central African Republic,Africa,4745185
126,5e93873181e83387f32ff648,Mauritania,Africa,4525696
127,5e93873181e83387f32ff649,Panama,Americas,4246439
128,5e93873181e83387f32ff64a,Kuwait,Asia,4207083
129,5e93873181e83387f32ff64b,Croatia,Europe,4130304
130,5e93873181e83387f32ff64c,Moldova,Europe,4043263
131,5e93873181e83387f32ff64d,Georgia,Asia,3996765
132,5e93873181e83387f32ff64e,Eritrea,Africa,3497117
133,5e93873181e83387f32ff64f,Uruguay,Americas,3461734
134,5e93873181e83387f32ff650,Bosnia and Herzegovina,Europe,3301000
135,5e93873181e83387f32ff651,Mongolia,Asia,3225167
136,5e93873181e83387f32ff652,Armenia,Asia,2957731
137,5e93873181e83387f32ff653,Jamaica,Americas,2948279
138,5e93873181e83387f32ff654,Puerto Rico,Americas,2933408
139,5e93873181e83387f32ff655,Albania,Europe,2880917
140,5e93873181e83387f32ff656,Qatar,Asia,2832067
141,5e93873181e83387f32ff657,Lithuania,Europe,2759627
142,5e93873181e83387f32ff658,Namibia,Africa,2494530
143,5e93873181e83387f32ff659,Gambia,Africa,2347706
144,5e93873181e83387f32ff65a,Botswana,Africa,2303697
145,5e93873181e83387f32ff65b,Gabon,Africa,2172579
146,5e93873181e83387f32ff65c,Lesotho,Africa,2125268
147,5e93873181e83387f32ff65d,North Macedonia,Europe,2083459
148,5e93873181e83387f32ff65e,Slovenia,Europe,2078654
149,5e93873181e83387f32ff65f,Guinea-Bissau,Africa,1920922
150,5e93873181e83387f32ff660,Latvia,Europe,1906743
151,5e93873181e83387f32ff661,Bahrain,Asia,1641172
152,5e93873181e83387f32ff662,Trinidad and Tobago,Americas,1394973
153,5e93873181e83387f32ff663,Equatorial Guinea,Africa,1355986
154,5e93873181e83387f32ff664,Estonia,Europe,1325648
155,5e93873181e83387f32ff665,East Timor,Asia,1293119
156,5e93873181e83387f32ff666,Mauritius,Africa,1198575
157,5e93873181e83387f32ff667,Cyprus,Asia,1179551
158,5e93873181e83387f32ff668,Eswatini,Africa,1148130
159,5e93873181e83387f32ff669,Djibouti,Africa,973560
160,5e93873181e83387f32ff66a,Fiji,Oceania,889953
161,5e93873181e83387f32ff66b,Réunion,Africa,888927
162,5e93873181e83387f32ff66c,Comoros,Africa,850886
163,5e93873181e83387f32ff66d,Guyana,Americas,782766
164,5e93873181e83387f32ff66e,Bhutan,Asia,763092
165,5e93873181e83387f32ff66f,Solomon Islands,Oceania,669823
166,5e93873181e83387f32ff670,Macau,Asia,640445
167,5e93873181e83387f32ff671,Montenegro,Europe,627987
168,5e93873181e83387f32ff672,Luxembourg,Europe,615729
169,5e93873181e83387f32ff673,Western Sahara,Africa,582463
170,5e93873181e83387f32ff674,Suriname,Americas,581372
171,5e93873181e83387f32ff675,Cape Verde,Africa,549935
172,5e93873181e83387f32ff676,Maldives,Asia,530953
173,5e93873181e83387f32ff677,Guadeloupe,Americas,447905
174,5e93873181e83387f32ff678,Malta,Europe,440372
175,5e93873181e83387f32ff679,Brunei,Asia,433285
176,5e93873181e83387f32ff67a,Belize,Americas,390353
177,5e93873181e83387f32ff67b,Bahamas,Americas,389482
178,5e93873181e83387f32ff67c,Martinique,Americas,375554
179,5e93873181e83387f32ff67d,Iceland,Europe,339031
180,5e93873181e83387f32ff67e,Vanuatu,Oceania,299882
181,5e93873181e83387f32ff67f,Barbados,Americas,287025
182,5e93873181e83387f32ff680,New Caledonia,Oceania,282750
183,5e93873181e83387f32ff681,French Guiana,Americas,282731
184,5e93873181e83387f32ff682,French Polynesia,Oceania,279287
185,5e93873181e83387f32ff683,Mayotte,Africa,266150
186,5e93873181e83387f32ff684,São Tomé and Príncipe,Africa,215056
187,5e93873181e83387f32ff685,Samoa,Oceania,197097
188,5e93873181e83387f32ff686,Saint Lucia,Americas,182790
189,5e93873181e83387f32ff687,Guernsey and Jersey,Europe,172259
190,5e93873181e83387f32ff688,Guam,Oceania,167294
191,5e93873181e83387f32ff689,Curaçao,Americas,163424
192,5e93873181e83387f32ff68a,Kiribati,Oceania,117606
193,5e93873181e83387f32ff68b,F.S. Micronesia,Oceania,113815
194,5e93873181e83387f32ff68c,Grenada,Americas,112003
195,5e93873181e83387f32ff68d,Tonga,Oceania,110940
196,5e93873181e83387f32ff68e,Saint Vincent and the Grenadines,Americas,110589
197,5e93873181e83387f32ff68f,Aruba,Americas,106314
198,5e93873181e83387f32ff690,U.S. Virgin Islands,Americas,104578
199,5e93873181e83387f32ff691,Seychelles,Africa,97739
200,5e93873181e83387f32ff692,Antigua and Barbuda,Americas,97118
201,5e93873181e83387f32ff693,Isle of Man,Europe,84584
202,5e93873181e83387f32ff694,Andorra,Europe,77142
203,5e93873181e83387f32ff695,Dominica,Americas,71808
204,5e93873181e83387f32ff696,Cayman Islands,Americas,64948
205,5e93873181e83387f32ff697,Bermuda,Americas,62506
206,5e93873181e83387f32ff698,Marshall Islands,Oceania,58791
207,5e93873181e83387f32ff699,Greenland,Americas,56672
208,5e93873181e83387f32ff69a,Northern Mariana Islands,Oceania,56188
209,5e93873181e83387f32ff69b,American Samoa,Oceania,55312
210,5e93873181e83387f32ff69c,Saint Kitts and Nevis,Americas,52823
211,5e93873181e83387f32ff69d,Faroe Islands,Europe,48678
212,5e93873181e83387f32ff69e,Sint Maarten,Americas,42388
213,5e93873181e83387f32ff69f,Monaco,Europe,38964
214,5e93873181e83387f32ff6a0,Turks and Caicos Islands,Americas,38191
215,5e93873181e83387f32ff6a1,Liechtenstein,Europe,38019
216,5e93873181e83387f32ff6a2,San Marino,Europe,33860
217,5e93873181e83387f32ff6a3,Gibraltar,Europe,33701
218,5e93873181e83387f32ff6a4,British Virgin Islands,Americas,30030
219,5e93873181e83387f32ff6a5,Caribbean Netherlands,Americas,25979
220,5e93873181e83387f32ff6a6,Palau,Oceania,18008
221,5e93873181e83387f32ff6a7,Cook Islands,Oceania,17548
222,5e93873181e83387f32ff6a8,Anguilla,Americas,14869
223,5e93873181e83387f32ff6a9,Tuvalu,Oceania,11646
224,5e93873181e83387f32ff6aa,Wallis and Futuna,Oceania,11432
