country,region,confirmed_infected,dead,recovered,timestamp
France,Nouvelle-Aquitaine,1.0,,,2020-01-24
France,Île-de-France,2.0,,,2020-01-24
France,Nouvelle-Aquitaine,1.0,,,2020-01-25
France,Île-de-France,2.0,,,2020-01-25
France,Nouvelle-Aquitaine,1.0,,,2020-01-26
France,Île-de-France,2.0,,,2020-01-26
France,Nouvelle-Aquitaine,1.0,,,2020-01-27
France,Île-de-France,2.0,,,2020-01-27
France,Nouvelle-Aquitaine,1.0,,,2020-01-28
France,Île-de-France,3.0,,,2020-01-28
France,Nouvelle-Aquitaine,1.0,,,2020-01-29
France,Île-de-France,4.0,,,2020-01-29
France,Nouvelle-Aquitaine,1.0,,,2020-01-30
France,Île-de-France,5.0,,,2020-01-30
France,Nouvelle-Aquitaine,1.0,,,2020-01-31
France,Île-de-France,5.0,,,2020-01-31
France,Nouvelle-Aquitaine,1.0,,,2020-02-03
France,Île-de-France,5.0,,,2020-02-03
France,Nouvelle-Aquitaine,1.0,,,2020-02-05
France,Île-de-France,5.0,,,2020-02-05
France,Nouvelle-Aquitaine,1.0,,,2020-02-06
France,Île-de-France,5.0,,,2020-02-06
France,Auvergne-Rhône-Alpes,5.0,0.0,,2020-02-07
France,Nouvelle-Aquitaine,1.0,,,2020-02-07
France,Île-de-France,5.0,,,2020-02-07
France,Auvergne-Rhône-Alpes,5.0,0.0,,2020-02-08
France,Nouvelle-Aquitaine,1.0,,,2020-02-08
France,Île-de-France,5.0,,,2020-02-08
France,Auvergne-Rhône-Alpes,5.0,0.0,,2020-02-10
France,Nouvelle-Aquitaine,1.0,,,2020-02-10
France,Île-de-France,5.0,,,2020-02-10
France,Auvergne-Rhône-Alpes,5.0,0.0,,2020-02-11
France,Nouvelle-Aquitaine,1.0,,,2020-02-11
France,Île-de-France,5.0,,,2020-02-11
France,Auvergne-Rhône-Alpes,5.0,0.0,,2020-02-12
France,Nouvelle-Aquitaine,1.0,,,2020-02-12
France,Île-de-France,5.0,,,2020-02-12
France,Auvergne-Rhône-Alpes,6.0,0.0,,2020-02-20
France,Nouvelle-Aquitaine,1.0,,,2020-02-20
France,Île-de-France,5.0,,,2020-02-20
France,Bourgogne-Franche-Comté,0.0,0.0,,2020-02-25
France,Grand Est,1.0,0.0,,2020-02-26
