country,region,confirmed_infected,dead,recovered,timestamp
Germany,Nordrhein-Westfalen,9764,66,755,2020-03-25
Germany,Bayern,7289,41,47,2020-03-25
Germany,Baden-Württemberg,7252,56,186,2020-03-25
Germany,Niedersachsen,2313,8,83,2020-03-25
Germany,Hessen,1909,6,19,2020-03-25
Germany,Berlin,1645,4,6,2020-03-25
Germany,Rheinland-Pfalz,1637,6,6,2020-03-25
Germany,Hamburg,1450,1,1,2020-03-25
Germany,Sachsen,1128,6,14,2020-03-25
Germany,Schleswig-Holstein,609,4,2,2020-03-25
Germany,Brandenburg,505,1,1,2020-03-25
Germany,Thüringen,479,2,64,2020-03-25
Germany,Saarland,466,3,21,2020-03-25
Germany,Sachsen-Anhalt,420,1,2,2020-03-25
Germany,Mecklenburg-Vorpommern,245,0,5,2020-03-25
Germany,Bremen,212,1,35,2020-03-25
Germany,nicht zugeordnet,0,0,2300,2020-03-25
Germany,Nordrhein-Westfalen,9087,54,522,2020-03-24
Germany,Bayern,6362,33,41,2020-03-24
Germany,Baden-Württemberg,6043,37,168,2020-03-24
Germany,Niedersachsen,2071,8,56,2020-03-24
Germany,Hessen,1620,4,6,2020-03-24
Germany,Rheinland-Pfalz,1480,5,6,2020-03-24
Germany,Berlin,1425,3,6,2020-03-24
Germany,Hamburg,1237,1,1,2020-03-24
Germany,Sachsen,1018,6,14,2020-03-24
Germany,Schleswig-Holstein,544,2,2,2020-03-24
Germany,Brandenburg,443,1,1,2020-03-24
Germany,Thüringen,437,1,52,2020-03-24
Germany,Saarland,433,3,14,2020-03-24
Germany,Sachsen-Anhalt,377,1,1,2020-03-24
Germany,Mecklenburg-Vorpommern,219,0,4,2020-03-24
Germany,Bremen,195,0,26,2020-03-24
Germany,nicht zugeordnet,0,0,2370,2020-03-24
Germany,Nordrhein-Westfalen,8224,41,187,2020-03-23
Germany,Bayern,5719,27,21,2020-03-23
Germany,Baden-Württemberg,5333,31,130,2020-03-23
Germany,Niedersachsen,1779,6,28,2020-03-23
Germany,Hessen,1352,3,6,2020-03-23
Germany,Rheinland-Pfalz,1285,4,5,2020-03-23
Germany,Berlin,1219,2,6,2020-03-23
Germany,Hamburg,989,1,1,2020-03-23
Germany,Sachsen,865,3,2,2020-03-23
Germany,Schleswig-Holstein,467,1,1,2020-03-23
Germany,Brandenburg,385,1,1,2020-03-23
Germany,Saarland,383,1,2,2020-03-23
Germany,Thüringen,377,1,33,2020-03-23
Germany,Sachsen-Anhalt,303,1,0,2020-03-23
Germany,Mecklenburg-Vorpommern,201,0,4,2020-03-23
Germany,Bremen,175,0,26,2020-03-23
Germany,Nordrhein-Westfalen,7361,33,163,2020-03-22
Germany,Bayern,4457,22,21,2020-03-22
Germany,Baden-Württemberg,4300,23,29,2020-03-22
Germany,Niedersachsen,1586,4,6,2020-03-22
Germany,Hessen,1267,3,6,2020-03-22
Germany,Rheinland-Pfalz,1149,2,1,2020-03-22
Germany,Berlin,1071,1,6,2020-03-22
Germany,Hamburg,887,1,1,2020-03-22
Germany,Sachsen,731,1,2,2020-03-22
Germany,Schleswig-Holstein,436,1,0,2020-03-22
Germany,Brandenburg,353,1,1,2020-03-22
Germany,Thüringen,328,1,27,2020-03-22
Germany,Saarland,318,1,0,2020-03-22
Germany,Sachsen-Anhalt,269,0,0,2020-03-22
Germany,Mecklenburg-Vorpommern,187,0,0,2020-03-22
Germany,Bremen,173,0,3,2020-03-22
Germany,Repatriierte,2,0,2,2020-03-22
Germany,Nordrhein-Westfalen,6849,24,158,2020-03-21
Germany,Baden-Württemberg,3818,23,19,2020-03-21
Germany,Bayern,3695,21,15,2020-03-21
Germany,Niedersachsen,1452,4,4,2020-03-21
Germany,Hessen,1166,2,5,2020-03-21
Germany,Rheinland-Pfalz,1062,2,1,2020-03-21
Germany,Berlin,1025,1,6,2020-03-21
Germany,Hamburg,768,1,1,2020-03-21
Germany,Sachsen,650,1,2,2020-03-21
Germany,Schleswig-Holstein,383,1,0,2020-03-21
Germany,Brandenburg,315,1,1,2020-03-21
Germany,Saarland,301,1,0,2020-03-21
Germany,Thüringen,277,1,24,2020-03-21
Germany,Sachsen-Anhalt,253,1,0,2020-03-21
Germany,Mecklenburg-Vorpommern,182,0,0,2020-03-21
Germany,Bremen,168,0,3,2020-03-21
Germany,Repatriierte,2,0,2,2020-03-21
Germany,Nordrhein-Westfalen,6301,22,127,2020-03-20
Germany,Baden-Württemberg,3665,17,14,2020-03-20
Germany,Bayern,3107,20,15,2020-03-20
Germany,Niedersachsen,1262,0,4,2020-03-20
Germany,Hessen,962,2,3,2020-03-20
Germany,Rheinland-Pfalz,890,2,1,2020-03-20
Germany,Berlin,868,1,6,2020-03-20
Germany,Hamburg,664,1,1,2020-03-20
Germany,Sachsen,562,1,2,2020-03-20
Germany,Schleswig-Holstein,321,1,0,2020-03-20
Germany,Brandenburg,265,0,1,2020-03-20
Germany,Saarland,255,0,0,2020-03-20
Germany,Sachsen-Anhalt,217,0,0,2020-03-20
Germany,Thüringen,215,1,3,2020-03-20
Germany,Mecklenburg-Vorpommern,167,0,0,2020-03-20
Germany,Bremen,127,0,3,2020-03-20
Germany,Repatriierte,2,0,2,2020-03-20
Germany,Nordrhein-Westfalen,4971,17,75,2020-03-19
Germany,Baden-Württemberg,2748,11,8,2020-03-19
Germany,Bayern,2282,13,14,2020-03-19
Germany,Niedersachsen,981,0,1,2020-03-19
Germany,Rheinland-Pfalz,749,0,1,2020-03-19
Germany,Hessen,740,1,3,2020-03-19
Germany,Berlin,688,0,6,2020-03-19
Germany,Hamburg,506,1,1,2020-03-19
Germany,Sachsen,389,0,0,2020-03-19
Germany,Schleswig-Holstein,253,1,0,2020-03-19
Germany,Saarland,217,0,0,2020-03-19
Germany,Brandenburg,204,0,1,2020-03-19
Germany,Sachsen-Anhalt,174,0,0,2020-03-19
Germany,Thüringen,166,0,2,2020-03-19
Germany,Mecklenburg-Vorpommern,133,0,0,2020-03-19
Germany,Bremen,119,0,3,2020-03-19
Germany,Repatriierte,2,0,2,2020-03-19
Germany,Nordrhein-Westfalen,4268,13,67,2020-03-18
Germany,Baden-Württemberg,2184,8,8,2020-03-18
Germany,Bayern,1798,5,14,2020-03-18
Germany,Niedersachsen,740,0,1,2020-03-18
Germany,Rheinland-Pfalz,603,0,1,2020-03-18
Germany,Hessen,547,1,2,2020-03-18
Germany,Berlin,519,0,6,2020-03-18
Germany,Hamburg,414,1,1,2020-03-18
Germany,Sachsen,296,0,0,2020-03-18
Germany,Schleswig-Holstein,196,0,0,2020-03-18
Germany,Brandenburg,171,0,1,2020-03-18
Germany,Saarland,169,0,0,2020-03-18
Germany,Sachsen-Anhalt,133,0,0,2020-03-18
Germany,Thüringen,114,0,1,2020-03-18
Germany,Mecklenburg-Vorpommern,100,0,0,2020-03-18
Germany,Bremen,75,0,3,2020-03-18
Germany,Repatriierte,2,0,2,2020-03-18
Germany,Nordrhein-Westfalen,3375,13,39,2020-03-17
Germany,Baden-Württemberg,1641,6,7,2020-03-17
Germany,Bayern,1352,5,14,2020-03-17
Germany,Niedersachsen,563,0,1,2020-03-17
Germany,Rheinland-Pfalz,435,0,1,2020-03-17
Germany,Berlin,383,0,1,2020-03-17
Germany,Hessen,381,1,2,2020-03-17
Germany,Hamburg,312,1,1,2020-03-17
Germany,Sachsen,247,0,0,2020-03-17
Germany,Schleswig-Holstein,145,0,0,2020-03-17
Germany,Brandenburg,114,0,1,2020-03-17
Germany,Sachsen-Anhalt,105,0,0,2020-03-17
Germany,Saarland,101,0,0,2020-03-17
Germany,Thüringen,71,0,1,2020-03-17
Germany,Mecklenburg-Vorpommern,69,0,0,2020-03-17
Germany,Bremen,66,0,3,2020-03-17
Germany,Repatriierte,2,0,2,2020-03-17
Germany,Nordrhein-Westfalen,2744,8,39,2020-03-16
Germany,Baden-Württemberg,1105,3,7,2020-03-16
Germany,Bayern,1067,5,14,2020-03-16
Germany,Niedersachsen,391,0,1,2020-03-16
Germany,Hessen,342,0,2,2020-03-16
Germany,Berlin,332,0,0,2020-03-16
Germany,Rheinland-Pfalz,325,0,1,2020-03-16
Germany,Hamburg,260,1,1,2020-03-16
Germany,Sachsen,152,0,0,2020-03-16
Germany,Schleswig-Holstein,123,0,0,2020-03-16
Germany,Brandenburg,94,0,0,2020-03-16
Germany,Saarland,85,0,0,2020-03-16
Germany,Sachsen-Anhalt,77,0,0,2020-03-16
Germany,Thüringen,67,0,1,2020-03-16
Germany,Bremen,57,0,1,2020-03-16
Germany,Mecklenburg-Vorpommern,51,0,0,2020-03-16
Germany,Repatriierte,2,0,2,2020-03-16
Germany,Nordrhein-Westfalen,2100,6,27,2020-03-15
Germany,Baden-Württemberg,977,3,2,2020-03-15
Germany,Bayern,886,4,14,2020-03-15
Germany,Niedersachsen,287,0,1,2020-03-15
Germany,Berlin,283,0,0,2020-03-15
Germany,Hessen,282,0,0,2020-03-15
Germany,Rheinland-Pfalz,200,0,1,2020-03-15
Germany,Hamburg,196,0,0,2020-03-15
Germany,Sachsen,130,0,0,2020-03-15
