country,region,confirmed_infected,dead,recovered,timestamp
Italy,Lombardia,25515 ,3095 ,5050 ,21-03-2020
Italy,Lombardia,22264 ,2549 ,4295 ,20-03-2020
Italy,Lombardia,19884 ,2168 ,3788 ,19-03-2020
Italy,Lombardia,17713 ,1959 ,3488 ,18-03-2020
Italy,Lombardia,16220 ,1640 ,2485 ,17-03-2020
Italy,Lombardia,14649 ,1420 ,2368 ,16-03-2020
Italy,Lombardia,13272 ,1218 ,2011 ,15-03-2020
Italy,Lombardia,11685 ,966 ,1660 ,14-03-2020
Italy,Lombardia,9820 ,890 ,1198 ,13-03-2020
Italy,Lombardia,8725 ,744 ,1085 ,12-03-2020
Italy,Lombardia,7290 ,617 ,900 ,11-03-2020
Italy,Lombardia,5791 ,468 ,896 ,10-03-2020
Italy,Lombardia,5469 ,333 ,646 ,09-03-2020
Italy,Lombardia,4189 ,267 ,550 ,08-03-2020
Italy,Lombardia,3420 ,154 ,524 ,07-03-2020
Italy,Lombardia,2612 ,135 ,469 ,06-03-2020
Italy,Lombardia,2251 ,98 ,376 ,05-03-2020
Italy,Lombardia,1820 ,73 ,250 ,04-03-2020
Italy,Lombardia,1520 ,55 ,139 ,03-03-2020
Italy,Lombardia,1254 ,55 ,139 ,02-03-2020
Italy,Emilia Romagna,6705 ,715 ,329 ,21-03-2020
Italy,Emilia Romagna,5968 ,640 ,239 ,20-03-2020
Italy,Emilia Romagna,5214 ,531 ,177 ,19-03-2020
Italy,Emilia Romagna,4525 ,458 ,152 ,18-03-2020
Italy,Emilia Romagna,3931 ,393 ,134 ,17-03-2020
Italy,Emilia Romagna,3522 ,346 ,88 ,16-03-2020
Italy,Emilia Romagna,3093 ,284 ,68 ,15-03-2020
Italy,Emilia Romagna,2644 ,241 ,54 ,14-03-2020
Italy,Emilia Romagna,2263 ,201 ,51 ,13-03-2020
Italy,Emilia Romagna,1947 ,146 ,43 ,12-03-2020
Italy,Emilia Romagna,1739 ,113 ,38 ,11-03-2020
Italy,Emilia Romagna,1533 ,85 ,31 ,10-03-2020
Italy,Emilia Romagna,1386 ,70 ,30 ,09-03-2020
Italy,Emilia Romagna,1180 ,56 ,27 ,08-03-2020
Italy,Emilia Romagna,1010 ,48 ,25 ,07-03-2020
Italy,Emilia Romagna,870 ,37 ,17 ,06-03-2020
Italy,Emilia Romagna,698 ,30 ,10 ,05-03-2020
Italy,Emilia Romagna,544 ,22 ,6 ,04-03-2020
Italy,Emilia Romagna,420 ,18 ,4 ,03-03-2020
Italy,Emilia Romagna,335 ,11 ,0 ,02-03-2020
Italy,Veneto,4617 ,146 ,257 ,21-03-2020
Italy,Veneto,4031 ,131 ,223 ,20-03-2020
Italy,Veneto,3484 ,115 ,200 ,19-03-2020
Italy,Veneto,3214 ,94 ,167 ,18-03-2020
Italy,Veneto,2704 ,80 ,136 ,17-03-2020
Italy,Veneto,2473 ,69 ,130 ,16-03-2020
Italy,Veneto,2172 ,63 ,120 ,15-03-2020
Italy,Veneto,1937 ,55 ,107 ,14-03-2020
Italy,Veneto,1595 ,42 ,100 ,13-03-2020
Italy,Veneto,1384 ,32 ,55 ,12-03-2020
Italy,Veneto,1023 ,29 ,54 ,11-03-2020
Italy,Veneto,856 ,26 ,47 ,10-03-2020
Italy,Veneto,744 ,20 ,30 ,09-03-2020
Italy,Veneto,670 ,18 ,29 ,08-03-2020
Italy,Veneto,543 ,13 ,25 ,07-03-2020
Italy,Veneto,488 ,12 ,22 ,06-03-2020
Italy,Veneto,407 ,10 ,17 ,05-03-2020
Italy,Veneto,360 ,6 ,9 ,04-03-2020
Italy,Veneto,307 ,3 ,7 ,03-03-2020
Italy,Veneto,273 ,2 ,0 ,02-03-2020
Italy,Piemonte,3752 ,238 ,8 ,21-03-2020
Italy,Piemonte,3461 ,209 ,8 ,20-03-2020
Italy,Piemonte,2932 ,175 ,3 ,19-03-2020
Italy,Piemonte,2341 ,154 ,0 ,18-03-2020
Italy,Piemonte,1897 ,133 ,0 ,17-03-2020
Italy,Piemonte,1516 ,111 ,0 ,16-03-2020
Italy,Piemonte,1111 ,81 ,0 ,15-03-2020
Italy,Piemonte,873 ,59 ,0 ,14-03-2020
Italy,Piemonte,840 ,46 ,0 ,13-03-2020
Italy,Piemonte,580 ,26 ,0 ,12-03-2020
Italy,Piemonte,501 ,21 ,0 ,11-03-2020
Italy,Piemonte,453 ,17 ,0 ,10-03-2020
Italy,Piemonte,360 ,13 ,0 ,09-03-2020
Italy,Piemonte,360 ,5 ,0 ,08-03-2020
Italy,Piemonte,207 ,5 ,0 ,07-03-2020
Italy,Piemonte,143 ,4 ,0 ,06-03-2020
Italy,Piemonte,108 ,2 ,0 ,05-03-2020
Italy,Piemonte,82 ,0 ,0 ,04-03-2020
Italy,Piemonte,56 ,0 ,0 ,03-03-2020
Italy,Piemonte,51 ,0 ,0 ,02-03-2020
Italy,Marche,2153 ,154 ,2 ,21-03-2020
Italy,Marche,1981 ,137 ,0 ,20-03-2020
Italy,Marche,1737 ,115 ,0 ,19-03-2020
Italy,Marche,1568 ,92 ,0 ,18-03-2020
Italy,Marche,1371 ,69 ,0 ,17-03-2020
Italy,Marche,1242 ,57 ,0 ,16-03-2020
Italy,Marche,1133 ,46 ,0 ,15-03-2020
Italy,Marche,899 ,36 ,0 ,14-03-2020
Italy,Marche,725 ,27 ,0 ,13-03-2020
Italy,Marche,592 ,22 ,0 ,12-03-2020
Italy,Marche,479 ,18 ,0 ,11-03-2020
Italy,Marche,394 ,13 ,0 ,10-03-2020
Italy,Marche,323 ,10 ,0 ,09-03-2020
Italy,Marche,274 ,7 ,0 ,08-03-2020
Italy,Marche,207 ,6 ,0 ,07-03-2020
Italy,Marche,159 ,4 ,0 ,06-03-2020
Italy,Marche,124 ,4 ,0 ,05-03-2020
Italy,Marche,84 ,4 ,0 ,04-03-2020
Italy,Marche,61 ,2 ,0 ,03-03-2020
Italy,Marche,35 ,1 ,0 ,02-03-2020
Italy,Toscana,2012 ,72 ,35 ,21-03-2020
Italy,Toscana,1793 ,47 ,33 ,20-03-2020
Italy,Toscana,1482 ,38 ,22 ,19-03-2020
Italy,Toscana,1330 ,22 ,17 ,18-03-2020
Italy,Toscana,1053 ,17 ,12 ,17-03-2020
Italy,Toscana,866 ,14 ,11 ,16-03-2020
Italy,Toscana,781 ,8 ,10 ,15-03-2020
Italy,Toscana,630 ,6 ,10 ,14-03-2020
Italy,Toscana,470 ,5 ,10 ,13-03-2020
Italy,Toscana,364 ,5 ,7 ,12-03-2020
Italy,Toscana,320 ,1 ,5 ,11-03-2020
Italy,Toscana,264 ,1 ,3 ,10-03-2020
Italy,Toscana,208 ,1 ,1 ,09-03-2020
Italy,Toscana,166 ,0 ,1 ,08-03-2020
Italy,Toscana,113 ,0 ,1 ,07-03-2020
Italy,Toscana,79 ,0 ,1 ,06-03-2020
Italy,Toscana,61 ,0 ,1 ,05-03-2020
Italy,Toscana,38 ,0 ,1 ,04-03-2020
Italy,Toscana,19 ,0 ,1 ,03-03-2020
Italy,Toscana,13 ,0 ,1 ,02-03-2020
