Data,Contagi,Morti,Guariti,,Region
20/03 ,22264 (+2380),2549 (+381),4295 (+507),,Lombardia
19/03 ,19884 (+2171),2168 (+209),3788 (+300),,Lombardia
18/03 ,17713 (+1493),1959 (+319),3488 (+1003),,Lombardia
17/03 ,16220 (+1571),1640 (+220),2485 (+117),,Lombardia
16/03 ,14649 (+1377),1420 (+202),2368 (+357),,Lombardia
15/03 ,13272 (+1587),1218 (+252),2011 (+351),,Lombardia
14/03 ,11685 (+1865),966 (+76),1660 (+462),,Lombardia
13/03 ,9820 (+1095),890 (+146),1198 (+113),,Lombardia
12/03 ,8725 (+1435),744 (+127),1085 (+185),,Lombardia
11/03 ,7290 (+1499),617 (+149),900 (+4),,Lombardia
10/03 ,5791 (+322),468 (+135),896 (+250),,Lombardia
09/03 ,5469 (+1280),333 (+66),646 (+96),,Lombardia
08/03 ,4189 (+769),267 (+113),550 (+26),,Lombardia
07/03 ,3420 (+808),154 (+19),524 (+55),,Lombardia
06/03 ,2612 (+361),135 (+37),469 (+93),,Lombardia
05/03 ,2251 (+431),98 (+25),376 (+126),,Lombardia
04/03 ,1820 (+300),73 (+18),250 (+111),,Lombardia
03/03 ,1520 (+266),55 (+0),139 (+0),,Lombardia
02/03 ,1254 ,55 ,139 ,,Lombardia
20/03 ,5968 (+754),640 (+109),239 (+62),,Emilia Romagna
19/03 ,5214 (+689),531 (+73),177 (+25),,Emilia Romagna
18/03 ,4525 (+594),458 (+65),152 (+18),,Emilia Romagna
17/03 ,3931 (+409),393 (+47),134 (+46),,Emilia Romagna
16/03 ,3522 (+429),346 (+62),88 (+20),,Emilia Romagna
15/03 ,3093 (+449),284 (+43),68 (+14),,Emilia Romagna
14/03 ,2644 (+381),241 (+40),54 (+3),,Emilia Romagna
13/03 ,2263 (+316),201 (+55),51 (+8),,Emilia Romagna
12/03 ,1947 (+208),146 (+33),43 (+5),,Emilia Romagna
11/03 ,1739 (+206),113 (+28),38 (+7),,Emilia Romagna
10/03 ,1533 (+147),85 (+15),31 (+1),,Emilia Romagna
09/03 ,1386 (+206),70 (+14),30 (+3),,Emilia Romagna
08/03 ,1180 (+170),56 (+8),27 (+2),,Emilia Romagna
07/03 ,1010 (+140),48 (+11),25 (+8),,Emilia Romagna
06/03 ,870 (+172),37 (+7),17 (+7),,Emilia Romagna
