Region,Population,Data_site
Lombardia,10.060.574,https://statistichecoronavirus.it/regioni-coronavirus-italia/lombardia/
Emilia Romagna,4.459.477,https://statistichecoronavirus.it/regioni-coronavirus-italia/emilia-romagna/
Veneto,4.907.529,https://statistichecoronavirus.it/regioni-coronavirus-italia/veneto/
Piemonte,4.392.526,https://statistichecoronavirus.it/regioni-coronavirus-italia/piemonte/
Marche,1.538.055,https://statistichecoronavirus.it/regioni-coronavirus-italia/marche/
Toscana,3.742.437,https://statistichecoronavirus.it/regioni-coronavirus-italia/toscana/
Liguria,1.565.307,https://statistichecoronavirus.it/regioni-coronavirus-italia/liguria/
Trentino Alto Adige,1.062.860,https://statistichecoronavirus.it/regioni-coronavirus-italia/trentino-alto-adige/
Lazio,5.898.124,https://statistichecoronavirus.it/regioni-coronavirus-italia/lazio/
Campania,5.839.084,https://statistichecoronavirus.it/regioni-coronavirus-italia/campania/
Friuli Venezia Giulia,1.217.872,https://statistichecoronavirus.it/regioni-coronavirus-italia/friuli-venezia-giulia/
Puglia,4.063.888,https://statistichecoronavirus.it/regioni-coronavirus-italia/puglia/
Abruzzo,1.322.247,https://statistichecoronavirus.it/regioni-coronavirus-italia/abruzzo/
Sicilia,5.056.641,https://statistichecoronavirus.it/regioni-coronavirus-italia/sicilia/
Umbria,888.908,https://statistichecoronavirus.it/regioni-coronavirus-italia/umbria/
Sardegna,1.653.135,https://statistichecoronavirus.it/regioni-coronavirus-italia/sardegna/
Valle d'Aosta,126.883,https://statistichecoronavirus.it/regioni-coronavirus-italia/valle-daosta/
Calabria,1.965.128,https://statistichecoronavirus.it/regioni-coronavirus-italia/calabria/
Basilicata,570.365,https://statistichecoronavirus.it/regioni-coronavirus-italia/basilicata/
Molise,310.449,https://statistichecoronavirus.it/regioni-coronavirus-italia/molise/
